proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),EXECUTING DEPARTMENT,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
1253,UPHC - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,26,54.5,BUILDINGS,UPHC _ DIALYSIS UNIT ,GRANTS,3,2021-22,NA,Head Office
1254,EVM STORAGE - (G+4) WITH PILE,GROUND FLOOR BRICK WORK /PLASTERING,62,908.5,BUILDINGS,EVM STORAGE BUILDING - ARUNACHALAM STREET CHINDADARIPET -ZONE-05,CAPITAL WORKS,5,2021-22,NA,Head Office
1255,UPHC - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,53,81.07,BUILDINGS,UPHC - KONDITHOPE 2ND FLOOR ,GRANTS,5,2021-22,NA,Head Office
1256,UCHC - (G+4) WITH PILE - (G+4) WITH PILE,FRAMED STRUCTURE 1ST FLOOR,102,999,BUILDINGS,"UCHC -PULLA AVENUE, SHENOY NAGAR - ZONE -08",GRANTS,8,2021-22,NA,Head Office
1257,UPHC - UPTO (G+3),FIRST FLOOR BRICK WORK /PLASTERING,53,81.9,BUILDINGS,UPHC  KONDITHOPE- GF &FF,GRANTS,5,2021-22,NA,Head Office
1260,BURIAL GROUND - (G+4) WITH PILE,PILES CAPS ,138,326,BUILDINGS,BG -LATEST SMOKE FREE LG FURNACE CREMATORIUM- MGR NAGAR- ZONE-10,CAPITAL WORKS,10,2021-22,NA,Head Office
1262,UCHC - (G+4) WITH PILE - (G+4) WITH PILE,FRAMED STRUCTURE 2ND FLOOR,160,834,BUILDINGS,UCHC- SOWRI STREET- ALANDUR -         Z-12,CAPITAL WORKS,12,2021-22,NA,Head Office
1264,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,58,69.7,BUILDINGS,SPECIAL SHELTER -SYDENHAMS ROAD  ,GRANTS,5,2021-22,NA,Head Office
1265,MISCELLANEOUS WORK - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",29,125,BUILDINGS,COMPOUND WALL - OSR LANDS AT 5TH AND 6TH AVENUE OF FUTURA POLYESTERS LAYOUT IN ZONE -03,CAPITAL WORKS,3,2021-22,NA,Head Office
1267,SCHOOL BUILDING - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,65,150.7,BUILDINGS,SCHOOL BUILDING -GKM COLONY - ZONE -06,CAPITAL WORKS,6,2021-22,NA,Head Office
1269,UPHC - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",72,185,BUILDINGS,"UPHC BUILDING AT VOC NAGAR 1ST STREET, PULIANTHOPE -ZONE -06",GRANTS,6,2021-22,NA,Head Office
1270,SCHOOL BUILDING - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,105,142,BUILDINGS,SCHOOL BUILDING IN (G+2 FLOORS) AT MMDA COLONY - ZONE-08,MLACDS,8,2021-22,NA,Head Office
1271,DHOBIKANNA - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,105,173,BUILDINGS,DHOBIKHANA BUILDING - CK STREET- ZONE -08,MLACDS,8,2021-22,NA,Head Office
1272,UPHC - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,123,138.4,BUILDINGS,"UPHC  - CP RAMASWAMY SALAI, ALWARPET - ZONE -09 (GF)",GRANTS,9,2021-22,NA,Head Office
1273,SCHOOL BUILDING - UPTO (G+3),SECOND FLOOR ELECTRICAL/PLUMBING,131,105,BUILDINGS,SCHOOL BUILDING CPS - JAFFERKHANPET 1&2 FLOORS - ZONE -10,CAPITAL WORKS,10,2021-22,NA,Head Office
1274,COMMUNITY CENTRE  - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,177,110,BUILDINGS,COMMUNITY CENTRE  -AMBEDKAR NAGAR 22ND CROSS STREET- ZONE -13,MLACDS,13,2021-22,NA,Head Office
1275,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,63,72.4,BUILDINGS,SPECIAL SHELTER -PYCROFTS 1ST STREET- (PH- 2) ,GRANTS,5,2021-22,NA,Head Office
1276,SPECIAL SHELTER - UPTO (G+3),FIRST FLOOR BRICK WORK /PLASTERING,45,72.4,BUILDINGS,SPECIAL SHELTER -ELANGO NAGAR (NEAR UPHC) ,GRANTS,4,2021-22,NA,Head Office
1277,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,76,72.4,BUILDINGS,SPECIAL SHELTER- DEVARAJ ST (ALT TO C.S NAGAR),GRANTS,6,2021-22,NA,Head Office
1278,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,77,72.4,BUILDINGS,"SPECIAL SHELTER -SIVARAO ROAD, PATTALAM",GRANTS,6,2021-22,NA,Head Office
1279,SPECIAL SHELTER - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",86,72.4,BUILDINGS, SPECIAL SHELTER -SUBBURAYAN ST ,GRANTS,7,2021-22,NA,Head Office
1280,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,73,72.4,BUILDINGS,SPECIAL SHELTER -  KUTTI THAMBIRAN ST ,GRANTS,6,2021-22,NA,Head Office
1281,SCHOOL BUILDING - UPTO (G+3),FRAMED  STRUCTURE 3RD FLOOR,105,45,BUILDINGS,SCHOOL BUILDING  (3RD FLOOR ONLY )  MMDA COLONY  ,MLACDS,8,2021-22,NA,Head Office
1282,SPECIAL SHELTER - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",102,72.4,BUILDINGS,SPECIAL SHELTER - T.P CHATHIRAM ,GRANTS,8,2021-22,NA,Head Office
1283,UPHC - UPTO (G+3),FIRST FLOOR BRICK WORK /PLASTERING,123,91,BUILDINGS,UPHC -CP RAMASWAMY SALAI,GRANTS,9,2021-22,NA,Head Office
1284,MISCELLANEOUS BUILDING - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",120,78.9,BUILDINGS,ITI BUILDING - LLOYDS COLONY ,CAPITAL WORKS,9,2021-22,NA,Head Office
1285,CRRT - (G+4) WITH PILE,FOUNDATION PILES ,175,669.7,BUILDINGS,PROVIDING  FENCING  OF THE ADAYAR RIVER RESTORATION ALONG THE BANKS ON BOTH SIDES FROM THIRU VIKA BRIDGE TO KOTTURPURAM BRIDGE CH 2000 TO 4350 M UNDER PHASE III ADYAR RIVER(CRRT),CRRT,13,2021-22,NA,Head Office
1286,ANGANWADI BUILDING - UPTO (G+3),FRAMED STRUCTURE GF,122,30,BUILDINGS,ANGANWADI - SATHYAMURTHY NAGAR,MLACDS,9,2021-22,NA,Head Office
1290,CRRT - (G+4) WITH PILE,FOUNDATION PILES ,171,750.1,BUILDINGS,PROVIDING  FENCING  OF THE ADAYAR RIVER RESTORATION ALONG THE BANKS ON BOTH SIDES FROM KOTTURPURAM BRIDGE TO MARAIMALAI ADIGALAR BRIDGE REACH II FROM CH 5825 TO 7300M (CRRT),CRRT,13,2021-22,NA,Head Office
1292,CRRT - (G+4) WITH PILE,FOUNDATION PILES ,170,686.5,BUILDINGS,PROVIDING  FENCING  OF THE ADAYAR RIVER RESTORATION ALONG THE BANKS ON BOTH SIDES FROM  ALANDUR  BRIDGE TO JAFFERKHANPET LOW BRIDGE FROM CH 8200 TO9830M UNDER PHASEIII ADYAR RIVER (CRRT),CRRT,13,2021-22,NA,Head Office
1298,ANGANWADI BUILDING - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,137,32.9,BUILDINGS,ANGANWADI - ANGALAPARAMESHWARI KOIL 1ST STREET,MLACDS,10,2021-22,NA,Head Office
1299,CRRT - (G+4) WITH PILE,FOUNDATION PILES ,158,1039,BUILDINGS,PROVIDING  FENCING  OF THE ADAYAR RIVER RESTORATION ALONG THE BANKS ON BOTH SIDES FROM  ARMY BRIDGE (CAUSEWAY) TO AIRPORT RUNWAY BRIDGEFROM CH 14450 M   TO 16750 M UNDER PHASE III ADYAR RIVER (CRRT),CRRT,12,2021-22,NA,Head Office
1300,RATION SHOP - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,142,72.4,BUILDINGS,SPECIAL SHELTER - VINAYAGAMPET,GRANTS,10,2021-22,NA,Head Office
1301,CRRT - (G+4) WITH PILE,FOUNDATION PILES ,157,858.4,BUILDINGS,PROVIDING  FENCING  OF THE ADAYAR RIVER RESTORATION ALONG THE BANKS ON BOTH SIDES FROM  NANDAMBAKKAM BRIDGE TO ARMY BRIDGE (CAUSEWAY)  FROM CH 700 TO 14450 M  UNDER PHASE III ADYAR RIVER (CRRT),CRRT,12,2021-22,NA,Head Office
1302,MULTI PURPOSE HALL - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",140,90,BUILDINGS,MULTI PURPOSE HALL - PALMORE STREET ,MLACDS,10,2021-22,NA,Head Office
1307,BRR-BT ROAD,BC-40 MM ,173,58.62,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KAMARAJAR SALAI (R A PURAM),TURIP FUND ,13,2021-22,NA,Head Office
1316,SPECIAL SHELTER - UPTO (G+3),GROUND FLOOR TILES LAYING/PAINTING,151,72.4,BUILDINGS,SPECIAL SHELTER _VALASARAVAKKAM ,GRANTS,11,2021-22,NA,Head Office
1317,ANGANWADI BUILDING - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",163,30,BUILDINGS,"ANGANWADI - MANNADIYAMMAN KOIL ST, (MASTAN GORI)",CAPITAL WORKS,12,2021-22,NA,Head Office
1318,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,RAMP FILLING ,18,1590,BRIDGES,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT AMULLAVOYAL,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),2,2021-22,NA,Head Office
1320,ANGANWADI BUILDING - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,162,30,BUILDINGS,ANGANWADI -MARISON 2ND STREET,MLACDS,12,2021-22,NA,Head Office
1321,ANGANWADI BUILDING - UPTO (G+3),FRAMED STRUCTURE GF,166,30,BUILDINGS,ANGANWADI  -BAKTHAVATSALAM NAGAR 1ST CROSS ST ,MLACDS,12,2021-22,NA,Head Office
1323,ANGANWADI BUILDING - UPTO (G+3),GROUND FLOOR ELECTRICAL/PLUMBING,163,30,BUILDINGS,ANGANWADI - NERUPPUMEDAI  ,CAPITAL WORKS,12,2021-22,NA,Head Office
1324,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,180,72.4,BUILDINGS,"SPECIAL SHELTER- THARAMANI, GOTHAVARI STREET",GRANTS,13,2021-22,NA,Head Office
1325,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,CRASH BARRIER ,17,1933,BRIDGES,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT VADAPERUMBAKKAM,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),2,2021-22,NA,Head Office
1326,SPECIAL SHELTER - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",180,72.4,BUILDINGS,SPECIAL SHELTER - THIRUVALLUVAR SALAI ,GRANTS,13,2021-22,NA,Head Office
1327,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,188,72.4,BUILDINGS,"SPECIAL SHELTER -KULAKARAI STREET, MADIPAKKAM",GRANTS,14,2021-22,NA,Head Office
1330,BUILDING,FOUNDATION PILECAP ,58,470,SPECIAL PROJECT,"CONSTRUCTION OF COMMAND, CONTROL AND DISASTER RESPONSE CENTRE/SMART GOVERNANCE CENTRE GREEN BUILDING INSIDE RIPON BUILDING CAMPUS DN. NO.58, ZONE-5",SMART CITY FUND,5,2021-22,NA,Head Office
1331,SPECIAL SHELTER - UPTO (G+3),GROUND FLOOR ELECTRICAL/PLUMBING,191,72.4,BUILDINGS,SPECIAL SHELTER AT JALADIANPETTAI THIRUVALLUVAR ST,GRANTS,14,2021-22,NA,Head Office
1332,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,197,72.4,BUILDINGS,SPECIAL SHELTER - NEDUNCHEZHIAN STREET,GRANTS,15,2021-22,NA,Head Office
1333,SPECIAL SHELTER - UPTO (G+3),GROUND FLOOR TILES LAYING/PAINTING,196,72.4,BUILDINGS,"SPECIAL SHELTER -KALIAMMSPECIAL SHELTER -KALIAMMAN KOIL STREET, KARAPPAKKAM AN KOIL STREET, KARAPPAKKAM ",GRANTS,15,2021-22,NA,Head Office
1340,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,DECK SLAB ,16,1433,BRIDGES,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT BURMA NAGAR MAIN ROAD,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),2,2021-22,NA,Head Office
1352,SKYWALK / FOB,DECK SLAB ,136,2845,BRIDGES,CONSTRUCTION OF SKYWALK WITH ESCALATORS FROM MAMBALAM RAILWAY STATION TO T. NAGAR BUS TERMINUS,SMART CITY FUND,10,2021-22,NA,Head Office
1361,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,PILE CAP ,95,6198,BRIDGES,CONSTRUCTION OF ROB IN LIEU OF EXISTING LEVEL CROSSING AT KOLATHUR - VILLIVAKKAM LC-1 ,CAPITAL GRANT FUND (CGF),8,2021-22,NA,Head Office
1381,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,PILE ,73,4346,BRIDGES,DEMOLITION AND RECONSTRUCTION OF BRIDGE AT STEPHENSON ROAD ACROSS OTTERI NULLAH ,CAPITAL GRANT FUND (CGF),6,2021-22,NA,Head Office
1384,BRR-BT ROAD,BC-40 MM ,"5,50,56,057",120.5,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT PRAKASAM SALAI,TURIP FUND ,5,2021-22,NA,Head Office
1398,BRR-BT ROAD,BC-40 MM ,58,54.44,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT VEPERY HIGH ROAD (PART),TURIP FUND ,5,2021-22,NA,Head Office
1400,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,RETAINING WALL/ RE WALL PANEL ,54,3078,BRIDGES,RECONSTRUCTION OF ROB AT ELEPHANT GATE ROAD (GCC PORTION ONLY),CAPITAL GRANT FUND (CGF),5,2021-22,NA,Head Office
1402,BIO-MINING,PROCESSING ,7,998,SWM,REMOVAL OF LEGACY WASTE THROUGH BIO-MINING AT SATHANGADU IN Z-1,SBM FUND,1,2021-22,NA,Head Office
1403,FOOTPATH WORK ,FOOTAPTH CONCRETE ,37,164.5,BRR,FORMING FOOTPATH AT MEENAMBAL SALAI,TURIP FUND ,4,2021-22,NA,Head Office
1409,FOOTPATH WORK ,KERB LAYING ,50,416,BRR,FORMING FOOTPATH AT S. N CHETTY STREET,TURIP FUND ,4,2021-22,NA,Head Office
1412,FOOTPATH WORK ,KERB LAYING ,"50,052",229.8,BRR,FORMING FOOTPATH AT MANNARSAMY KOIL STREET,TURIP FUND ,5,2021-22,NA,Head Office
1413,BIO-CNG,RCC DIGESTERS -2NOS,29,933,SWM,"CONSTRUCTION OF BIO-CNG PLANT - 100 MT CAPACITY (PHASE-I) AT MADAVARAM,Z-3",DBFOT - PPP MODE,3,2021-22,NA,Head Office
1414,BRIDGE/FLYOVER/GRADE SEPARATOR/RAIL OVER BRIDGE,PILE ,62,955,BRIDGES,CONSTRUCTION OF ADDITIONAL BRIDGE ACROSS COOVUM AT ARUNACHALA ROAD  ,CAPITAL GRANT FUND (CGF),5,2021-22,NA,Head Office
1419,FOOTPATH WORK ,KERB LAYING ,66,152.27,BRR,FORMING FOOTPATH AT KARTHIGEYAN SALAI,TURIP FUND ,6,2021-22,NA,Head Office
1421,SWD,SIDE WALL ,"79,08,00,81,089",2169,SWD,"CONSTRUCTION OF ISWD AT KAVERI ST, HOSPITAL ROAD IN DN.79, RUKMANIAMMAL ST, NAINIAMMAL ST, THIRUVENGADAM NAGAR 1ST MAIN ROAD, LOGANATHAN ST, ARASAMMAL ST, CHOLAMBEDU MAIN ROAD IN DN.81,Z7 (P1)",ADB,7,2021-22,NA,Head Office
1424,SKYWALK / FOB,GANGWAY ERECTION,110,542,BRIDGES,CONSTRUCTION OF STEEL FOOT OVER BRIDGE ACROSS NUNGAMBAKKAM SUBWAY ,CAPITAL GRANT FUND (CGF),9,2021-22,NA,Head Office
1430,FOOTPATH WORK ,KERB LAYING ,173,105.4,BRR,FORMING FOOTPATH AT THANDAVARAYAN STREET,TURIP FUND ,13,2021-22,NA,Head Office
1435,BOX CULVERT,EARTHWORK ,37,143,BRIDGES,CONSTRUCTION OF BOX CULVERT ACROSS KODUNGAIYUR CANAL AT KODUNGAIYUR DUMPING YARD IN BETWEEN GATE NO. 2&3 FOR GARDEN AND C & D WASTE PROCESSING PLANT. ,CAPITAL WORKS,4,2021-22,NA,Head Office
1446,RETROFITTING,MICRO CONCRETING ,42,501,BRIDGES,RETROFITTING & REHABILITATION WORK AT  VAIDYANATHAN BRIDGE ,OPERATION & MAINTENANCE (O AND M) GAP FILLING,4,2021-22,NA,Head Office
1458,FOOTPATH WORK ,FOOTAPTH CONCRETE ,173,358.04,BRR,FORMING FOOTPATH AT SARDAR PATEL ROAD(SOUTH)(ANNA SALAI TO CANCER INSTITUTE),TURIP FUND ,13,2021-22,NA,Head Office
1463,FOOTPATH WORK ,KERB LAYING ,173,358,BRR,FORMING FOOTPATH AT KALKI KRISHNAMURTHY SALAI (L B ROAD) ( FROM THE JN OF MG ROAD TO WEST AVENEUE ROAD),TURIP FUND ,13,2021-22,NA,Head Office
1466,SWD,RAFT ,"8,00,81,08,20,84,085",16211,SWD,"CONSTRUCTION OF ISWD AT NAGAMMAI ST, ANNA SALAISERAN ST, PERIYAR ST,PATEL ST, RAJARAM ST , MANI ST IN DN.80 AND BANU ST, RAJIV GANDHI NAGAR 5TH ST IN DN.82, Z7.(P2)",ADB,7,2021-22,NA,Head Office
1472,BUILDING,FOUNDATION PILE ,51,453,SPECIAL PROJECT,"REFURBISHMENT OF CHENNAI PRIMARY SCHOOL AND CHENNAI HIGH SCHOOL AT MANIKANDAN STREET / CEMETRY ROAD IN DIVISION-51, ZONE-5.",SMART CITY FUND,5,2021-22,NA,Head Office
1473,FOOTPATH WORK ,KERB LAYING ,175,139.6,BRR,FORMING FOOTPATH AT INDRA NAGAR 2ND AVENUE,TURIP FUND ,13,2021-22,NA,Head Office
1476,INCINERATOR,VIBRATOR AND CONVEYORS,7,60,SWM,"CONSTRUCTION OF INCINERATOR PLANT - 5 MT CAPACITY AT THIRUVOTTIYUR,Z-1",CSR FUND,1,2021-22,NA,Head Office
1478,PUBLIC SPACE,PAVING ,175,831,SPECIAL PROJECT,"CREATION OF LEISURE CYCLE TRACK WITH VIBRANT LANDSCAPE ALONG THE BANKS OF BUCKINGHAM CANAL FROM KASTURIBAI MRTS TO INDIRANAGAR MRTS STATION, REACH - I",TURIP FUND ,13,2021-22,NA,Head Office
1482,PUBLIC SPACE,PAVING ,180,1084,SPECIAL PROJECT,"CREATION OF LEISURE CYCLE TRACK WITH VIBRANT LANDSCAPE ALONG THE BANKS OF BUCKINGHAM CANAL FROM INDIRANAGAR MRTS TO THIRUVANMIYUR MRTS STATION, REACH - II",TURIP FUND ,13,2021-22,NA,Head Office
1483,FOOTPATH WORK ,KERB LAYING ,175,119.08,BRR,FORMING FOOTPATH AT INDRA NAGAR 3RD AVENUE,TURIP FUND ,13,2021-22,NA,Head Office
1485,FOOTPATH,CONCRETE PAVEMENT ,172,396,SPECIAL PROJECT,"FORMATION OF FOOTPATH AT GANDHI MANDAPAM ROAD IN DIVISION 171 & 172, ZONE - 13",TURIP FUND ,13,2021-22,NA,Head Office
1489,SWD,TOP SLAB ,82,4959,SWD,"CONSTRUCTION OF ISWD AT MUTHAMIZH NAGAR 2ND MAIN ROAD, TNEB COLONY 1ST, 3RD AVENUE, MUTHAMIZH NAGAR 1ST MAIN ROAD AND TNEB COLONY 1ST AVENUE IN DN.82, Z7 (P3)",ADB,7,2021-22,NA,Head Office
1494,INCINERATOR,COMMISSIONING OF THE PLANT,37,949,SWM,CONSTRUCTION OF SCIENTIFIC INCINERATOR-50MT/DAY AT KODUNGAIYUR DUMPING GROUND,DBFOT - PPP MODE,4,2021-22,NA,Head Office
1497,BIO-MINING,PROCESSING ,86,602,SWM,REMOVAL OF LEGACY WASTE THROUGH BIO-MINING AT ATHIPATTU ,SBM FUND,7,2021-22,NA,Head Office
1500,BRR-BT ROAD,BC-40 MM ,61,131.1,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT LANGS GARDEN,TURIP FUND ,5,2021-22,NA,Head Office
