proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),EXECUTING DEPARTMENT,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
3052,PARK,FORMATION OF  NEW  PARK ,33,30.95,PARK,"FORMATION OF NEW PARK AT MAHATMA GANDHI STREET,",CAPITAL WORKS,3,2021-22,NA,Head Office
3054,PARK, IMPROVEMENTS TO THE EXISTING PARK,33,36.9,PARK,FORMATION OF NEW PARK AT  SELVAM NAGAR II ND MAIN ROAD,CAPITAL WORKS,3,2021-22,NA,Head Office
3055,PARK,FORMATION OF  NEW  PARK ,73,244.1,PARK,FORMATION OF NEW PARK AT NEW FERRANCE ROAD,CAPITAL WORKS,6,2021-22,NA,Head Office
3056,PARK,FORMATION OF  NEW  PARK ,73,111.2,PARK,FORMATION OF NEW PARK AT COOKS ROAD,CAPITAL WORKS,6,2021-22,NA,Head Office
3057,PARK,FORMATION OF  NEW  PARK ,92,41.51,PARK,FORMATION OF NEW PARK AT CHURCH ROAD (VGN HOME),CAPITAL WORKS,7,2021-22,NA,Head Office
3058,PARK,FORMATION OF  NEW  PARK ,82,213,PARK,FORMATION OF NEW PARK AT REDHILLS ROAD (KALLIKUPPAM),CAPITAL WORKS,7,2021-22,NA,Head Office
3060,PARK,FORMATION OF  NEW  PARK ,84,100.49,PARK,"FORMATION OF NEW PARK AT EAST AVENUE ROAD, KORATTUR",CAPITAL WORKS,7,2021-22,NA,Head Office
3061,PARK,FORMATION OF  NEW  PARK ,86,83.81,PARK,FORMATION OF NEW PARK AT THAMIRABARANI STREET (ICF COLONY),CAPITAL WORKS,7,2021-22,NA,Head Office
3062,PARK,FORMATION OF  NEW  PARK ,85,58.91,PARK,"FORMATION OF NEW PARK AT TI CYCLE ROAD, OSR - II PARK",CAPITAL WORKS,7,2021-22,NA,Head Office
3063,PARK,FORMATION OF  NEW  PARK ,90,98.34,PARK,"FORMATION OF NEW PARK AT EMERALDS FLATS, THIRUMANGALAM",CAPITAL WORKS,7,2021-22,NA,Head Office
3064,PARK,FORMATION OF  NEW  PARK ,91,93.08,PARK,FORMATION OF NEW PARK AT MUGAPPAIR ERI SCHEME,CAPITAL WORKS,7,2021-22,NA,Head Office
3065,PARK,FORMATION OF  NEW  PARK ,86,83.81,PARK,"FORMATION OF NEW PARK AT THAMIRABARANI STREET, ICF COLONY ",CAPITAL WORKS,7,2021-22,NA,Head Office
3066,PARK,FORMATION OF  NEW  PARK ,98,83.79,PARK,"FORMATION OF NEW PARK AT TNHB, AYANAVARAM NEAR (SOLAIAMMAN KOIL STREET)",CAPITAL WORKS,8,2021-22,NA,Head Office
3067,PARK,FORMATION OF  NEW  PARK ,128,84.1,PARK,FORMATION OF NEW PARK AT VEMBULIAMMAN KOIL STREET,CAPITAL WORKS,10,2021-22,NA,Head Office
3068,PARK,FORMATION OF  NEW  PARK ,129,96.76,PARK,FORMATION OF NEW PARK AT KANNIGAPURAM,CAPITAL WORKS,10,2021-22,NA,Head Office
3069,PARK,FORMATION OF  NEW  PARK ,143,195.36,PARK,CREATION OF SENSORY PARK FOR DISABLED CHILDREN AT SAKTHI NAGAR MAIN ROAD,CAPITAL WORKS,11,2021-22,NA,Head Office
3070,PARK,FORMATION OF  NEW  PARK ,150,64.93,PARK,FORMATION OF NEW PARK AT MAHARISHI TEACHERS COLONY,CAPITAL WORKS,11,2021-22,NA,Head Office
3071,PARK,FORMATION OF  NEW  PARK ,150,49.92,PARK,"FORMATION OF NEW PARK AT SUBHAGIRI NAGAR MAIN ROAD, THUNDALAM",CAPITAL WORKS,11,2021-22,NA,Head Office
3073,PARK,FORMATION OF  NEW  PARK ,143,74.75,PARK,FORMATION OF NEW PARK AT TNHB MOGAPPAIR WEST MAIN ROAD,CAPITAL WORKS,11,2021-22,NA,Head Office
3074,PARK,FORMATION OF  NEW  PARK ,156,68.07,PARK,"FORMATION OF NEW PARK AT RAMAMOORTHY AVENUE, SAROJINI STREET",CAPITAL WORKS,12,2021-22,NA,Head Office
3075,PARK,FORMATION OF  NEW  PARK ,172,223.18,PARK,CREATION OF SENSORY PARK FOR DISABLED CHILDREN AT KOTTUR GARDEN,CAPITAL WORKS,13,2021-22,NA,Head Office
3076,PARK,FORMATION OF  NEW  PARK ,177,56.26,PARK,FORMATION OF NEW PARK AT MAHALAKSHMI NAGAR 1ST MAIN ROAD ,CAPITAL WORKS,13,2021-22,NA,Head Office
3077,PARK,FORMATION OF  NEW  PARK ,182,91.23,PARK,"FORMATION OF NEW PARK AT TNHB QUARTERS, ADYAR ",CAPITAL WORKS,13,2021-22,NA,Head Office
3078,PARK,FORMATION OF  NEW  PARK ,185,62.65,PARK,"FORMATION OF NEW PARK AT KANDASWAMY NAGAR, PALLAVAKKAM IN DIVISION -185",CAPITAL WORKS,14,2021-22,NA,Head Office
3079,PARK,FORMATION OF  NEW  PARK ,173,106.62,PARK,"FORMATION OF NEW PARK AT SOUTH BEACH ROAD, MRC NAGAR ",CAPITAL WORKS,13,2021-22,NA,Head Office
3080,PARK,FORMATION OF  NEW  PARK ,184,110.52,PARK,"FORMATION OF NEW PARK AT ANNA NEDUNSALAI, PERUNGUDI ",CAPITAL WORKS,14,2021-22,NA,Head Office
3081,PARK,FORMATION OF  NEW  PARK ,183,124.31,PARK,"FORMATION OF NEW PARK AT KP KANDAN NAGAR, KOTTIVAKKAM",CAPITAL WORKS,14,2021-22,NA,Head Office
3082,PARK,FORMATION OF  NEW  PARK ,185,105.63,PARK,"FORMATION OF NEW PARK AT SATHYAMURTHY ROAD, LAKSHMANAN NAGAR",CAPITAL WORKS,14,2021-22,NA,Head Office
3083,PARK,FORMATION OF  NEW  PARK ,188,69.37,PARK,"FORMATION OF NEW PARK AT SENTHIL NAGAR, MADIPAKKAM",CAPITAL WORKS,14,2021-22,NA,Head Office
3084,PARK,FORMATION OF  NEW  PARK ,189,119.38,PARK,"FORMATION OF NEW PARK AT KAMAKOTTI NAGAR, 6TH STREET, PALLIKARANAI ",CAPITAL WORKS,14,2021-22,NA,Head Office
3085,PARK,FORMATION OF  NEW  PARK ,198,97.04,PARK,"FORMATION OF NEW PARK AT BAKTHI VETHAN SALAI,",CAPITAL WORKS,15,2021-22,NA,Head Office
3086,PARK,FORMATION OF  NEW  PARK ,200,96.62,PARK,FORMATION OF NEW PARK AT TIMES OF INDIA  IN DIV-200,CAPITAL WORKS,15,2021-22,NA,Head Office
3087,PARK,FORMATION OF  NEW  PARK ,200,56.89,PARK,FORMATION OF NEW PARK AT NOOKAMPALAYAM LINK ROAD,CAPITAL WORKS,15,2021-22,NA,Head Office
3088,PARK,FORMATION OF  NEW  PARK ,175,71.93,PARK,"FORMATION OF NEW PARK AT 26TH CROSS STREET, INDRA NAGAR",CAPITAL WORKS,13,2021-22,NA,Head Office
3089,PARK,FORMATION OF  NEW  PARK ,194,102.74,PARK,FORMATION OF NEW PARK AT GUINDY ENGINEERING COLLEGE MAIN ROAD,CAPITAL WORKS,15,2021-22,NA,Head Office
3091,PARK,FORMATION OF  NEW  PARK ,196,58.54,PARK,FORMATION OF NEW PARK AT ANNA ENCLAVE ,CAPITAL WORKS,15,2021-22,NA,Head Office
3096,PARK,FORMATION OF  NEW  PARK ,197,68.36,PARK,FORMATION OF NEW PARK AT K.K.SALAI JN. OF RAJIV GANDHI SALAI,CAPITAL WORKS,15,2021-22,NA,Head Office
3097,PARK,FORMATION OF  NEW  PARK ,90,60.74,PARK,"FORMATION OF NEW PARK AT BEN FOUNDATION, PADIKUPPAM ROAD",CAPITAL WORKS,7,2021-22,NA,Head Office
3098,PARK, IMPROVEMENTS TO THE EXISTING PARK,92,98,PARK,"IMPROVEMENTS WORKS IN MANGAL ERI PARK, MOGAPPAIR WEST ",CAPITAL WORKS,7,2021-22,NA,Head Office
3099,PARK,FORMATION OF  NEW  PARK ,82,87.97,PARK,"FORMATION OF NEW PARK AT M/S. DUGAR HOUSING LTD, REDHILLS ROAD, OPP TO TATA COMMUNICATION ",CAPITAL WORKS,7,2021-22,NA,Head Office
3100,PARK, IMPROVEMENTS TO THE EXISTING PARK,91,48,PARK,MAJOR IMPROVEMENT WORKS TO THE EXISTING PARK AT 15TH CROSS STREET ERI SCHEME MUGAPPAIR WEST ,CAPITAL WORKS,7,2021-22,NA,Head Office
3101,PARK,FORMATION OF  NEW  PARK ,197,104,PARK,"FORMATION OF NEW PARK AT ARIGNAR ANNA STREET, SHOLINGANALLUR",CAPITAL WORKS,15,2021-22,NA,Head Office
3102,PARK,FORMATION OF  NEW  PARK ,200,51.58,PARK,FORMATION OF NEW PARK AT NOOKAMPALAYAM LINK ROAD (NEXT TO MICRO CHIP IT  COMPANY) SEMMANCHERRY,CAPITAL WORKS,15,2021-22,NA,Head Office
3103,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,56,181,PARK,"FORMATION OF FUTSAL COURT, CONSTRUCTION OF GYM BUILDING & IMPROVEMENT WORKS AT ASIRVATHAPURAM ",CAPITAL WORKS,5,2021-22,NA,Head Office
3104,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,57,67.8,PARK,REDEVELOPMENT TO THE PLAYGROUND AT WATER BASIN STREET ,CAPITAL WORKS,5,2021-22,NA,Head Office
3105,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,104,67,PARK,FORMATION OF CHILDREN PLAYFIELD AND PROVIDING OPEN GYM EQUIPMENT AT NEHRU NAGAR ,CAPITAL WORKS,8,2021-22,NA,Head Office
3106,PLAY FIELD, IMPROVEMENTS TO THE EXISTING  PLAY FIELD,112,55,PARK,"TRUSTPURAM PLAY GROUND 1ST MAIN ROAD (CONSTRUCTION OF GALLERY, FOOTPATH AND OTHER IMPROVEMENTS) ",CAPITAL WORKS,9,2021-22,NA,Head Office
3107,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,200,379.71,PARK,"FORMATION OF NEW MULTI PURPOSE PLAYGROUND AT MAJESTIC LAYOUT, SEMMANCHERRY",CAPITAL WORKS,15,2021-22,NA,Head Office
3108,PLAY FIELD, IMPROVEMENTS TO THE EXISTING  PLAY FIELD,65,70.5,PARK,REDEVELOPMENT OF PLAY GROUND AT SRINIVASA NAGAR 3RD MAIN ROAD,CAPITAL WORKS,6,2021-22,NA,Head Office
3109,PLAY FIELD, IMPROVEMENTS TO THE EXISTING  PLAY FIELD,68,97.5,PARK,FORMATION OF NEW PLAYGROUND AT TEEDS GARDEN IST STREET,CAPITAL WORKS,6,2021-22,NA,Head Office
3110,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,91,59.14,PARK,FORMATION OF NEW PLAY GROUND AT THE EXISTING NURSERY SCHOOL (ICDS) LAND AT 6TH BLOCK ,CAPITAL WORKS,7,2021-22,NA,Head Office
3111,PLAY FIELD, IMPROVEMENTS TO THE EXISTING  PLAY FIELD,45,119,PARK,REDEVELOPMENT OF PLAY GROUND AT MAYOR KRISHNAMOORTHY NAGAR MAIN ROAD (ELANGO NAGAR),CAPITAL WORKS,4,2021-22,NA,Head Office
3112,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,58,857.7,PARK,FORMATION OF NEW PLAY GROUND AT KANNAPPAR THIDAL ,CAPITAL WORKS,5,2021-22,NA,Head Office
3113,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,77,225,PARK,"FORMATION OF NEW PLAY GROUND SUNDARAPURAM, ELEPHANT GATE ROAD, ",CAPITAL WORKS,6,2021-22,NA,Head Office
3114,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,175,941,PARK,"FORMATION OF NEW PARK & PLAYFIELD AT ADYAR RIVER BANK, KOTTURPURAM",CAPITAL WORKS,13,2021-22,NA,Head Office
3115,PARK,FORMATION OF  NEW  PARK ,34,63,PARK,"FORMATION OF PARK AT BINNY NAGAR MAIN ROAD, KODUNGAIYUR ",CAPITAL WORKS,4,2021-22,NA,Head Office
3116,BRR-BT ROAD,WATER TABLE /SAUCER DRAIN ,1,3,BRR,TEST DATA WORK,CAPITAL GRANT FUND (CGF),1,2021-22,NA,Head Office
3117,BRR-BT ROAD,MILLING ,175,48.7,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KASTHURIBAI NAGAR 3RD CROSS STREET,SRP,13,2021-22,NA,Head Office
3118,BRR-BT ROAD,BC-40 MM ,103,2.87,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT ORMES ROAD,SRP,8,2021-22,NA,Head Office
3119,FOOTPATH WORK ,FOOTAPTH CONCRETE ,141,28.32,BRR,FORMING FOOTPATH AT C.I.T NAGAR 3RD MAIN ROAD ,TURIP FUND ,10,2021-22,NA,Head Office
3120,FOOTPATH WORK ,FOOTAPTH CONCRETE ,141,38.18,BRR,FORMING FOOTPATH AT C.I.T NAGAR 4TH MAIN ROAD,TURIP FUND ,10,2021-22,NA,Head Office
3121,BRR-BT ROAD,BC-40 MM ,76,63.08,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT STRAHANS ROAD(FOM THE JN OF DEMELLOWS ROAD TO PERAMBUR BARRACS ROAD ),TURIP FUND ,6,2021-22,NA,Head Office
3122,BRR-BT ROAD,MILLING ,47,29.36,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KANNAN STREET,TURIP FUND ,4,2021-22,NA,Head Office
3123,BRR-BT ROAD,BC-40 MM ,82,80.91,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT EAST AVENUE ROAD,SRP,7,2021-22,NA,Head Office
3124,BRR-BT ROAD,MILLING ,61,81.57,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT GANDHI IRWIN ROAD(PART),SRP,5,2021-22,NA,Head Office
3125,BRR-BT ROAD,BC-40 MM ,77,60.24,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT DEMELLOWS ROAD (BASIN ELEPHANT GATE ROAD TO ANGALAMMAN KOIL STREET),TURIP FUND ,6,2021-22,NA,Head Office
3126,BRR-BT ROAD,BC-40 MM ,64,80.41,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT VILLIVAKKAM REDHILLS ROAD,SRP,6,2021-22,NA,Head Office
3127,SWD,RAFT ,6,1782,SWD,"CONSTRUCTION OF ISWD AT MANALI HIGH ROAD IN DN.6, Z1 (P20)",ADB,1,2021-22,NA,Head Office
3128,BRR-BT ROAD,BC-40 MM ,99,131.64,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT ANNA NAGAR 13TH MAIN ROAD,SRP,8,2021-22,NA,Head Office
3129,BRR-BT ROAD,BC-40 MM ,175,174.5,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT SARDAR PATEL ROAD (JN OF ADYAR SIGNAL TO JN OF OMR),TURIP FUND ,13,2021-22,NA,Head Office
3130,BRR-BT ROAD,BC-40 MM ,175,28,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT DR.MUTHULAKSHMI SALAI,SRP,13,2021-22,NA,Head Office
3131,BRR-BT ROAD,MILLING ,137,95.85,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT MUNUSAMY SALAI,SRP,10,2021-22,NA,Head Office
3132,BRR-BT ROAD,BC-40 MM ,175,48.7,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KASTHURIBAI NAGAR 3RD CROSS STREET,SRP,13,2021-22,NA,Head Office
3133,PARK,FORMATION OF  NEW  PARK ,143,85,PARK,"FORMATION OF NEW PARK AT VOC STREET, SERVICE ROAD.",CAPITAL WORKS,11,2021-22,NA,Head Office
3134,PARK,FORMATION OF  NEW  PARK ,49,55,PARK,"FORMATION OF NEW PARK AT I-DREAMS, RAJARATHINAM 3RD STREET, ",CAPITAL WORKS,5,2021-22,NA,Head Office
3135,PLAY FIELD, IMPROVEMENTS TO THE EXISTING  PLAY FIELD,45,86,PARK,RE-DEVELOPMENT OF PLAY GROUND AT B.V.COLONY ,CAPITAL WORKS,4,2021-22,NA,Head Office
3136,PLAY FIELD,FORMATION OF  NEW  PLAY FIELD,77,19.6,PARK,FORMATION OF NEW PLAY AREA AT K.P.PARK ,CAPITAL WORKS,6,2021-22,NA,Head Office
3137,BRR-BT ROAD,BC-40 MM ,66,69.52,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KARTHIGEYAN SALAI(PART),SRP,6,2021-22,NA,Head Office
3138,BRR-BT ROAD,BC-40 MM ,67,10.75,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT GKM COLONY 17 TH STREET,SRP,6,2021-22,NA,Head Office
3144,LAMP POST,SUPPLY OF LAMP POST,161,196000,ELECTRICAL,"1.	SUPPLY AND ERECTION OF 4 NOS OF 6M GI LAMP POST AT VOC NAGAR MAIN ROAD IN DIVISION 161 ,ZONE 12. ",OWN SOURCES,12,2021-22,NA,Head Office
3145,PAINTING,PAINTING OF LAMP POST,164,916700,ELECTRICAL,PROVISION OF PAINTING OF 1524 NOS OF 6 MTR SINGLE STRAIGHT BRACKET AND 1167 NOS OF 6 MTR SINGLE ARCH BRACKET AND 238 NOS OF 8 MTR SINGLE ARCH BRACKET AND 271 NOS OF 2 MTR SINGLE CURVE POST AND 3200 NO,OWN SOURCES,12,2021-22,NA,Head Office
3146,LAMP POST,ERECTION OF LAMP POST,164,998200,ELECTRICAL,"SUPPLY & ERECTION OF 16 NOS OF 6 MTR GI STREET LAMP POST FOOT PATH OF ARTHANAREESWARAR POND IN NANGANALLUR 4TH MAIN ROAD IN DIVISION 164, ZONE-12 AREA.",OWN SOURCES,12,2021-22,NA,Head Office
3148,PILLAR BOX,ERECTION OF PILLAR BOX,176,198000,ELECTRICAL,"REPLACEMENT OF 5NOS OF DAMAGED PILLAR BOXES AT VARIOUS LOCATIONS IN INDIRA NAGAR SECTION (DIV.176 & 173), ZONE-13.",OWN SOURCES,13,2021-22,NA,Head Office
3150,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,29,190700,ELECTRICAL,"SUPPLY AND LAYING OF 300 MTRS OF 31/2 X 25 SQMM CABLE IN  CHINNASEKKADU FOR BAILING MACHINE IN DIV 29, ZONE 3     ",CAPITAL WORKS,3,2021-22,NA,Head Office
3153,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,171,323000,ELECTRICAL,"PROVISION OF REPLACEMENT OF DAMAGED 674 MTRS 2X16 SQ.MM ALU CABLE AT HOSPITAL ROAD, MOSQUE GARDEN, SUBBUPILLAI THOTTAM, SOWBAGHYA AVENUE AND KARUNANIDHI STREET IN DIV-171&172, ZONE -  13 AREA. ",OWN SOURCES,13,2021-22,NA,Head Office
3158,LAMP POST,ERECTION OF LAMP POST,178,3720000,ELECTRICAL,"SUPPLY AND ERECTION OF 82 NOS. OF 6 MTR GI LAMP POST WITH SINGLE ARCH BRACKET AT NEW BRIDGE UPPER SIDE THARAMANI 100 FEET ROAD TO VELACHERY 100 FEET ROAD IN VELACHERY DN 178 & 179, ZONE-13. (DEPOSIT W",DEPOSIT WORKS,13,2021-22,NA,Head Office
3159,LAMP POST,ERECTION OF LAMP POST,182,589000,ELECTRICAL,ERECTION OF 19 NOS OF 6 MTR LAMP POST WITH 1 MTR GI CURVED SINGLE BRACKET AND LAYING OF 541 MTRS OF 2 X 16 SQMM CABLE AT THIRUVEEDHIAMMAN KOIL STREET 1ST LANE TO 6TH LANE AND BAGAVATH SINGH SALAI IN D,OWN SOURCES,13,2021-22,NA,Head Office
3160,LAMP POST,ERECTION OF LAMP POST,171,1060000,ELECTRICAL,"SUPPLY AND ERECTION OF 13 NOS. OF 8 MTR GI LAMP POST WITH SINGLE ARCH	BRACKET AT ANNA SALAI (ELCOT TO NANDANAM SIGNAL) DN 171, ZONE-13. (DEPOSIT	WORK ",DEPOSIT WORKS,13,2021-22,NA,Head Office
3161,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,186,14155600,ELECTRICAL,"SUPPLY & LAYING  OF 5364 MTRS FOR AVAILING LT SUPPLY FOR RECLAMATION OF PERUNGUDI DUMPING GROUND THROUGH BIO-MINING, ZONE-14 AREA",CAPITAL WORKS,14,2021-22,NA,Head Office
3162,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,186,20.586,ELECTRICAL,"SUPPLY AND LAYING  OF  108 MTRS OF 4C X 300 SQ.MM CABLE,31/2 X 240 SQ.MM AND 31/2 X 120 SQ.MM,324 MTRS OF 31/2 X 185 SQMM AND 238MTRS OF 4 X 16 SQ MM CABLE FROM GARDEN WASTE MV PANEL TO CONSTRUC",CAPITAL WORKS,14,2021-22,NA,Head Office
