Category,State or City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid-Year Population(in Lakh),Rate of Suicides,Year
Union Territory,PUDUCHERRY,530,0.51,10.52,50.38,1998
Union Territory,A & N ISLANDS,135,0.13,3.65,36.98,1998
City,BENGALURU,1660,16.79,53.24,31.17,1998
State,KERALA,9306,8.89,317.80,29.28,1998
City,JAIPUR,399,4.04,13.73,29.06,1998
City,KOCHI,625,6.32,23.75,26.31,1998
City,DELHI (CITY),274,2.77,12.55,21.83,1998
State,KARNATAKA,10934,10.44,509.83,21.44,1998
City,NAGPUR,419,4.24,19.92,21.03,1998
Union Territory,D & N HAVELI,36,0.03,1.80,20.00,1998
State,TRIPURA,676,0.65,35:82,18.87,1998
State,WEST BENGAL,14253,13.61,772.50,18.45,1998
State,TAMIL NADU,10982,10.49,608.81,18.03,1998
City,BHOPAL,268,2.71,15.33,17.48,1998
State,GOA,256,0.24,15.13,16.92,1998
City,COIMBATORE,1070,10.82,64.39,16.61,1998
State,SIKKIM,87,0.08,5.29,16.44,1998
City,SURAT,361,3.65,22.05,16.37,1998
State,MAHARASHTRA,13658,13.04,894.06,15.27,1998
City,MADURAI,180,1.82,12.38,14.53,1998
Union Territory,DAMAN & DIU,19,0.02,1.32,14.39,1998
City,KOLKATA,211,2.13,16.56,12.74,1998
State,ANDHRA PRADESH,9433,9.01,741.71,12.71,1998
State,MADHYA PRADESH,9428,9.00,774.00,12.18,1998
City,PUNE,401,4.06,33.23,12.06,1998
City,VADODARA,178,1.80,15.27,11.65,1998
State,ASSAM,2821,2.69,256.46,10.99,1998
City,VISHAKHAPATNAM,165,1.67,15.94,10.35	,1998
Union Territory,CHANDIGARH,86,0.08,8.40,10.23,1998
City,KANPUR,206,2.08,20.40,10.09,1998
State,ODISHA,3484,3.33,353.04,9.86,1998
State,MIZORAM,88,0.08,9.01,9.76,1998
State,GUJARAT,4533,4.33,470.98,9.62,1998
City,AHMEDABAD,366,3.70,40.15,9.11,1998
City,VARANASI,108,1.09,12.45,8.67,1998
State,HARYANA,1605,1.53,193.43,8.29,1998
City,MUMBAI,1366,13.81,171.90,7.94,1998
City,INDORE,500,5.06,64.29,7.77,1998
Union Territory,DELHI (UT),982,0.94,130.40,7.53,1998
City,HYDERABAD,739,7.47,111.65,6.61,1998
State,RAJASTHAN,3292,3.14,520.05,6.33,1998
City,LUCKNOW,112,1.13,24.17,4.63,1998
State,ARUNACHAL PRADESH,51,0.05,11.28,4.52,1998
State,HIMACHAL PRADESH,244,0.23,64.23,3.79,1998
State,PUNJAB,809,0.77,231.01,3.50,1998
City,PATNA,43,0.43,12.54,3.42,1998
State,MEGHALAYA,72,0.07,23.05,3.12,1998
State,UTTAR PRADESH,4970,4.75,1640.41,3.02,1998
State,BIHAR,1795,1.71,969.55,1.85,1998
City,CHENNAI,222,2.25,125.90,1.76,1998
Union Territory,LAKSHADWEEP,1,0.00,0.67,1.49,1998
State,JAMMU & KASHMIR,107,0.10,95.35,1.12,1998
State,MANIPUR,30,0.03,23.86,1-25,1998
City,LUDHIANA,15,0.15,15.51,0.96,1998
State,NAGALAND,10,0.01,15.91,0.62,1998
Union Territory,PUDUCHERRY,634,0.57,10.88,58.27,1999
City,BENGALURU,1938,19.07,55.11,35.17,1999
Union Territory,A & N ISLANDS,132,0.12,3.78,34.92,1999
City,JAIPUR,493,4.85,14.13,34.89,1999
State,KERALA,9778,8 84,320.75,30.48,1999
State,TRIPURA,938,0.85,37.04,25.32,1999
State,KARNATAKA,12488,11.29,516 53,24.18,1999
City,DELHI (CITY),255,2.51,12.78,19.95,1999
State,SIKKIM,108,0.10,5.47,19.74,1999
City,KOCHI,469,4.61,24.26,19.33,1999
City,NAGPUR,385,3 79,20.41,18.86,1999
State,TAMIL NADU,11448,10.35,614.27,18.64,1999
State,WEST BENGAL,13889,12.56,783.15,17.73,1999
City,COIMBATORE,1142,11.24,65.91,17.33,1999
Union Territory,D & N HAVELI,32,003,1.86,17.20,1999
City,BHOPAL,267,2 63,16 08,16.60,1999
State,GOA,256,0.23,15.63,16.38,1999
State,MAHARASHTRA,13594,12.29,904.50,15.03,1999
City,SURAT,330,3.25,23.20,14.22,1999
City,KOLKATA,243,2.39,17.43,13.94,1999
State,ANDHRA PRADESH,10386,9.39,750.10,13.85,1999
City,KANPUR,275,2.71,21.23,12.95,1999
State,MADHYA PRADESH,9702,8.77,788.06,12.31,1999
City,PUNE,423,4.16,34.56,12.24,1999
State,HARYANA,2297,2.08,196.40,11.70,1999
City,VADODARA,176,1.73,15.91,11.06,1999
State,GUJARAT,4986,4.51,477.87,10.43,1999
State,ODISHA,3652,3.30,356.41,10.25,1999
City,AHMEDABAD,416,4.09,41 21,10.09,1999
State,ASSAM,2535,2.29,259.83,9.76,1999
City,VISHAKHAPATNAM,141,1.39,16.86,8.36,1999
Union Territory,CHANDIGARH,70,0.06,8.69,8.06,1999
City,INDORE,835,5.30,67.82,7.95,1999
Union Territory,DELHI (UT),1031,0.93,135.98,7.58,1999
Union Territory,DAMAN & DIU,10,0.01,1.37,7.30,1999
City,HYDERABAD,539,8.22,116.03,7.20,1999
State,RAJASTHAN,3743,3 38,529.44,7.07,1999
City,MUMBAI,1266,12.46,179.34,7.06,1999
City,MADURAI,99,0.97,12.61,7 85,1999
State,ARUNACHAL PRADESH,74,0.07,11.67,6.34,1999
City,VARANASI,76,0.75,12.77,5.95,1999
State,HIMACHAL PRADESH,326,0.29,66.00,4.94,1999
City,LUCKNOW,112,1.10,25 42,4.41,1999
State,PUNJAB,986,0 89,233 68,4.22,1999
City,PATNA,43,0.42,12 77,3.37,1999
State,UTTAR PRADESH,5476,4.95,1676 56,3.27,1999
State,MIZORAM,28,0.03,9.32,3,1999
State,MEGHALAYA,56,0.05,23.84,2.35,1999
City,LUDHIANA,30,0.30,16.37,1.83,1999
State,BIHAR,1795,1.62,987 33,1.82,1999
City,CHENNAI,210,2.07,128 20,1.64,1999
State,JAMMU & KASHMIR,98,0.09,97.87,1,1999
State,MANIPUR,24,0.02,24.66,0.97,1999
State,NAGALAND,15,0.01,16.47,0.91,1999
Union Territory,LAKSHADWEEP,0,0.00,0.70,0.00,1999
Union Territory,PUDUCHERRY,569,0.52,11.19,50.85,2000
Union Territory,A & N ISLANDS,128,0.12,3.88,32.99,2000
City,BENGALURU,1731,17.67,57.06,30.34,2000
City,INDORE,438,4.47,14.55,30.10,2000
State,KERALA,9304,8.57,323.51,28.76,2000
Union Territory,D & N HAVELI,54,0.05,1.92,28.13,2000
State,TRIPURA,935,0.86,38.07,24.56,2000
State,KARNATAKA,12375,11.40,523.00,23 66,2000
City,NAGPUR,465,4.75,20.92,22.23,2000
City,KANPUR,531,5.42,24 78,21.43,2000
City,COIMBATORE,262,2.68,13.01,20.14,2000
City,BHOPAL,309,3.15,16.86,18.33,2000
State,TAMIL NADU,10976,10 11,619.33,17.72,2000
State,WEST BENGAL,13849,12.75,793.33,17.46,2000
State,GOA,272,0.25,16.06,16.94,2000
City,CHENNAI,1084,11.07,67.48,16.06,2000
State,MAHARASHTRA,14005,12.90,914.28,15.32,2000
State,SIKKIM,84,0 08,5.62,14.95,2000
State,MADHYA PRADESH,10872,10.01,802.25,13.55,2000
City,PUNE,482,4.92,35.94,13.41,2000
City,JAIPUR,296,3.02,22.11,13.39,2000
City,SURAT,319,3.26,24.41,13.07,2000
State,ANDHRA PRADESH,9905,9.12,758.54,13.06,2000
City,KOCHI,215,2.20,18.34,11.72,2000
City,AHMEDABAD,492,5.02,42.81,11.49,2000
State,HARYANA,2233,2.06,199.27,11.21,2000
State,ODISHA,3935,3.62,359.56,10.94,2000
State,ASSAM,2804,2.58,262.95,10.66,2000
State,GUJARAT,5062,4.66,484.90,10.44,2000
State,ARUNACHAL PRADESH,114,0.10,12.00,9.50,2000
City,VADODARA,153,1.56,16.58,9 23,2000
City,VISHAKHAPATNAM,158,1.61,17.83,8.86,2000
Union Territory,DAMAN & DIU,12,0.0 i,1.41,8.51,2000
Union Territory,CHANDIGARH,75,0.07,8 94,8.39,2000
City,MADURAI,94,0.96,12.84,7.32,2000
Union Territory,DELHI (UT),1028,0.95,140.96,7.29,2000
City,DELHI (CITY),856,8 74,120.58,7.10,2000
State,RAJASTHAN,3283,3.02,538.74,6.09,2000
City,MUMBAI,1086,11.09,187.11,5.80,2000
City,VARANASI,75,0.77,13.10,5.73,2000
City,HYDERABAD,393,4.01,71.54,5.49,2000
State,MIZORAM,51,0.05,9.59,5.32,2000
State,HIMACHAL PRADESH,357,0.33,67.43,5.29,2000
City,LUCKNOW,115,1 17,26.74,4.30,2000
State,PUNJAB,830,0.76,236.22,3.51,2000
City,PATNA,38,0.39,13.00,2.92,2000
State,UTTAR PRADESH,4737,4.36,1715.44,2.76,2000
State,MEGHALAYA,49,0.05,24.51,2.00,2000
City,LUDHIANA,34,0.35,17.28,1.97,2000
State,NAGALAND,32,0 03,16.96,1.89,2000
State,JAMMU & KASHMIR,141,0.13,99.86,1.41,2000
State,MANIPUR,27,0.02,25.35,1.07,2000
City,KOLKATA,168 .,1.72,130.55,1 29,2000
Union Territory,LAKSHADWEEP,0,0.00,0 72,000,2000
State,BIHAR,495,0.46,1005.63,0.49,2000
Union Territory,PUDUCHERRY,529,0.49,9.74,54.31,2001
Union Territory,A & N ISLANDS,129,0.12,3.56,36.23,2001
City,INDORE,543,4.76,16.39,33.12,2001
State,KERALA,9572,8.82,318.39,30.06,2001
City,JABALPUR,325,2.85,11.17,29.09,2001
City,RAJKOT,290,2.54,10.02,28.94,2001
State,TRIPURA,854,0.79,31.91,26.76,2001
City,BENGALURU,1352,11.85,56.87,23.77,2001
Union Territory,D & N HAVELI,50,0.05,2.20,22.72,2001
State,KARNATAKA,11881,10.95,527.34,22.53,2001
City,NAGPUR,453,3.97,21.23,21.33,2001
City,VIJAYAWADA,196,1.72,10.11,19.38,2001
City,DHANBAD,206,1.80,10.64,19.36,2001
State,CHHATTISGARH,4025,3.71,207.96,19.35,2001
State,GOA,256,0.24,13.44,19.04,2001
State,TAMIL NADU,11290,10.40,621.11,18.17,2001
City,KOCHI,236,2.07,13.55,17.41,2001
State,SIKKIM,94,0.09,5.40,17.40,2001
State,WEST BENGAL,13690,12.62,802.21,17.06,2001
City,COIMBATORE,246,2.16,14.46,17.01,2001
City,CHENNAI,1090,9.55,64.25,16.96,2001
City,BHOPAL,239,2.09,14.55,16.42,2001
State,MAHARASHTRA,14618,13.47,967.52,15.10,2001
City,KANPUR,393,3.44,26.90,14.60,2001
State,ANDHRA PRADESH,10522,9.70,757.28,13.89,2001
City,VISHAKHAPATNAM,174,1.52,13.29,13.09,2001
City,JAIPUR,301,2.64,23.24,12.95,2001
City,PUNE,484,4.24,37.56,12.88,2001
City,SURAT,331,2.90,28.11,11.77,2001
State,MADHYA PRADESH,6860,6.32,603.85,11.36,2001
City,VADODARA,166,1.45,14.92,11.12,2001
State,ODISHA,4052,3.73,367.07,11.03,2001
City,HYDERABAD,587,5.14,55.34,10.60,2001
City,NASIK,121,1.06,11.52,10.50,2001
City,JAMSHEDPUR,115,1.01,11.02,10.43,2001
State,ARUNACHAL PRADESH,111,0.10,10.91,10.17,2001
State,ASSAM,2647,2.44,266.38,9.93,2001
City,AHMEDABAD,448,3.93,45.19,9.91,2001
State,HARYANA,2007,1.85,210.83,9.51,2001
State,GUJARAT,4791,4.42,505.97,9.46,2001
Union Territory,DELHI (UT),1239,1.14,137.83,8.98,2001
Union Territory,DAMAN & DIU,14,0.01,1.58,8.86,2001
City,MADURAI,103,0.90,11.95,8.61,2001
City,FARIDABAD,88,0.77,10.55,8.34,2001
City,DELHI (CITY),1028,9.01,127.91,8.03,2001
Union Territory,CHANDIGARH,70,0.06,9.01,7.76,2001
City,MUMBAI,1226,10.74,163.68,7.49,2001
City,ASANSOL,79,0.69,10.91,7.24,2001
City,VARANASI,86,0.75,12.12,7.09,2001
City,ALLAHABAD,74,0.65,10.50,7.04,2001
State,MIZORAM,54,0.05,8.91,6.06,2001
State,RAJASTHAN,3195,2.94,564.73,5.65,2001
State,HIMACHAL PRADESH,307,0.28,60.77,5.05,2001
City,AGRA,64,0.56,13.21,4.84,2001
State,MEGHALAYA,87,0.08,23.06,3.77,2001
City,PATNA,63,0.55,17.07,3.69,2001
State,UTTARAKHAND,311,0.29,84.80,3.66,2001
City,AMRITSAR,36,0.32,10.11,3.56,2001
State,PUNJAB,648,0.60,242.89,2.66,2001
City,LUDHIANA,32,0.28,13.95,2.29,2001
State,UTTAR PRADESH,3516,3.24,1660.53,2.11,2001
City,LUCKNOW,46,0.40,22.67,2.02,2001
State,NAGALAND,40,0.04,19.89,2.01,2001
City,MEERUT,22,0.19,11.67,1.88,2001
State,MANIPUR,41,0.04,23.89,1.71,2001
State,JAMMU & KASHMIR,153,0.14,100.70,1.51,2001
City,KOLKATA,171,1.50,132.17,1.29,2001
State,JHARKHAND,250,0.23,269.09,0.92,2001
State,BIHAR,603,0.56,828.79,0.72,2001
Union Territory,LAKSHADWEEP,0,0.00,0.61,0.00,2001
Union Territory,PUDUCHERRY,567,0.51,9.91,57.21,2002
Union Territory,A & N ISLANDS,144,0.13,3.65,39.45,2002
City,INDORE,625,5.46,16.39,38.13,2002
City,JABALPUR,376,3.29,11.17,33.66,2002
State,KERALA,9810,8.88,322.7,30.4,2002
City,BENGALURU,1440,12.59,56.87,25.32,2002
City,RAJKOT,250,2.19,10.02,24.95,2002
State,TRIPURA,779,0.71,32.47,23.99,2002
State,KARNATAKA,12270,11.11,536.81,22.86,2002
State,GOA,309,0.28,13.88,22.26,2002
Union Territory,D & N HAVELI,50,0.05,2.28,21.93,2002
City,CHENNAI,1361,11.9,64.25,21.18,2002
City,VIJAYAWADA,214,1.87,10.11,21.17,2002
City,COIMBATORE,302,2.64,14.46,20.89,2002
City,DHANBAD,219,1.91,10.64,20.58,2002
City,NAGPUR,417,3.65,21.23,19.64,2002
State,CHHATTISGARH,3950,3.58,213.03,18.54,2002
State,TAMIL NADU,11244,10.18,629.43,17.86,2002
City,KOCHI,232,2.03,13.55,17.12,2002
City,NASIK,193,1.69,11.52,16.75,2002
City,VISHAKHAPATNAM,220,1.92,13.29,16.55,2002
City,KANPUR,441,3.86,26.9,16.39,2002
State,WEST BENGAL,13007,11.78,817.07,15.92,2002
State,ANDHRA PRADESH,11693,10.59,769.15,15.2,2002
State,MAHARASHTRA,14529,13.16,988.26,14.7,2002
State,SIKKIM,78,0.07,5.53,14.1,2002
City,BHOPAL,194,1.7,14.55,13.33,2002
City,PUNE,496,4.34,37.56,13.21,2002
City,SURAT,340,2.97,28.11,12.1,2002
State,ODISHA,4388,3.97,373.43,11.75,2002
State,MADHYA PRADESH,6899,6.25,620.72,11.11,2002
Union Territory,DAMAN & DIU,17,0.02,1.64,10.37,2002
City,JAIPUR,239,2.09,23.24,10.28,2002
State,ARUNACHAL PRADESH,114,0.10,11.15,10.22,2002
State,HARYANA,2200,1.99,216.44,10.16,2002
City,HYDERABAD,550,4.81,55.34,9.94,2002
City,MADURAI,115,1.01,11.95,9.62,2002
City,VADODARA,143,1.25,14.92,9.58,2002
Union Territory,CHANDIGARH,87,0.08,9.32,9.33,2002
City,ALLAHABAD,97,0.85,10.5,9.24,2002
State,ASSAM,2510,2.27,272.47,9.21,2002
State,GUJARAT,4644,4.21,517.89,8.97,2002
City,AHMEDABAD,385,3.37,45.19,8.52,2002
City,FARIDABAD,85,0.74,10.55,8.06,2002
City,JAMSHEDPUR,86,0.75,11.02,7.8,2002
Union Territory,DELHI (UT),1053,0.95,143.83,7.32,2002
State,MIZORAM,66,0.06,9.1,7.25,2002
City,MUMBAI,1072,9.37,163.68,6.55,2002
City,DELHI (CITY),816,7.13,127.91,6.38,2002
City,AGRA,76,0.66,13.21,5.75,2002
State,RAJASTHAN,3248,2.94,581.25,5.59,2002
State,HIMACHAL PRADESH,334,0.30,61.78,5.41,2002
City,VARANASI,55,0.48,12.12,4.54,2002
State,UTTARAKHAND,361,0.33,86.76,4.16,2002
City,LUCKNOW,73,0.64,22.67,3.22,2002
State,MEGHALAYA,67,0.06,23.58,2.84,2002
State,UTTAR PRADESH,4250,3.85,1708.1,2.49,2002
City,PATNA,42,0.37,17.07,2.46,2002
City,LUDHIANA,33,0.29,13.95,2.37,2002
City,AMRITSAR,24,0.21,10.11,2.37,2002
State,PUNJAB,507,0.46,247.71,2.05,2002
City,MEERUT,22,0.19,11.67,1.89,2002
State,JAMMU & KASHMIR,184,0.17,104.4,1.76,2002
State,MANIPUR,39,0.04,24.43,1.6,2002
City,KOLKATA,201,1.76,132.17,1.52,2002
State,NAGALAND,27,0.02,20.47,1.32,2002
State,JHARKHAND,272,0.25,275.43,0.99,2002
State,BIHAR,720,0.65,851.71,0.85,2002
City,ASANSOL,5,0.04,10.91,0.46,2002
Union Territory,LAKSHADWEEP,0,0.00,0.62,0.00,2002
Union Territory,PUDUCHERRY,582,0.5,10.1,57.9,2003
City,JABALPUR,453,3.8,11.2,40.6,2003
City,INDORE,649,5.4,16.4,39.6,2003
City,ASANSOL,391,3.3,10.9,35.8,2003
Union Territory,A & N ISLANDS,113,0.1,3.7,30.3,2003
State,KERALA,9438,8.5,326.2,28.9,2003
City,RAJKOT,272,2.3,10.0,27.2,2003
City,BENGALURU,1471,12.2,56.9,25.9,2003
State,TRIPURA,844,0.8,32.9,25.6,2003
State,KARNATAKA,12361,11.2,543.7,22.7,2003
Union Territory,D & N HAVELI,52,0.1,2.3,22.3,2003
City,COIMBATORE,308,2.6,14.5,21.3,2003
State,GOA,300,0.3,14.3,21.1,2003
City,BHOPAL,297,2.5,14.6,20.4,2003
City,NAGPUR,429,3.6,21.2,20.2,2003
City,CHENNAI,1238,10.3,64.3,19.3,2003
State,TAMIL NADU,11872,10.7,635.9,18.7,2003
State,SIKKIM,105,0.1,5.6,18.7,2003
City,VISHAKHAPATNAM,244,2.0,13.3,18.4,2003
State,CHHATTISGARH,3919,3.5,217.2,18.0,2003
City,DHANBAD,177,1.5,10.6,16.6,2003
City,KOCHI,222,1.9,13.6,16.4,2003
State,WEST BENGAL,13280,12.0,828.3,16.0,2003
City,NASIK,178,1.5,11.5,15.5,2003
State,MAHARASHTRA,14760,13.3,1003.1,14.7,2003
State,ANDHRA PRADESH,11409,10.3,778.7,14.7,2003
City,JAIPUR,338,2.8,23.2,14.5,2003
City,KANPUR,388,3.2,26.9,14.4,2003
City,VIJAYAWADA,145,1.2,10.1,14.3,2003
Union Territory,DAMAN & DIU,24,0.0,1.7,14.3,2003
City,PUNE,507,4.2,37.6,13.5,2003
City,HYDERABAD,653,5.4,55.3,11.8,2003
State,ODISHA,4420,4.0,378.2,11.7,2003
City,SURAT,327,2.7,28.1,11.6,2003
City,MADURAI,132,1.1,12.0,11.1,2003
Union Territory,CHANDIGARH,103,0.1,9.6,10.8,2003
State,MADHYA PRADESH,6762,6.1,633.7,10.7,2003
City,VADODARA,155,1.3,14.9,10.4,2003
State,HARYANA,2227,2.0,220.4,10.1,2003
State,ASSAM,2596,2.3,277.3,9.4,2003
State,GUJARAT,4566,4.1,526.4,8.7,2003
City,AHMEDABAD,378,3.1,45.2,8.4,2003
City,JAMSHEDPUR,89,0.7,11.0,8.1,2003
Union Territory,DELHI (UT),1153,1.0,148.3,7.8,2003
City,AGRA,95,0.8,13.2,7.2,2003
State,ARUNACHAL PRADESH,81,0.1,11.3,7.2,2003
City,DELHI (CITY),879,7.3,127.9,6.9,2003
City,FARIDABAD,71,0.6,10.6,6.7,2003
State,RAJASTHAN,3661,3.3,593.3,6.2,2003
State,HIMACHAL PRADESH,386,0.4,62.5,6.2,2003
City,ALLAHABAD,64,0.5,10.5,6.1,2003
City,MUMBAI,969,8.1,163.7,5.9,2003
State,MIZORAM,52,0.1,9.2,5.6,2003
City,LUCKNOW,120,1.0,22.7,5.3,2003
State,UTTARAKHAND,391,0.4,88.3,4.4,2003
City,VARANASI,53,0.4,12.1,4.4,2003
Union Territory,LAKSHADWEEP,2,0.0,0.6,3.2,2003
City,AMRITSAR,26,0.2,10.1,2.6,2003
State,PUNJAB,631,0.6,251.1,2.5,2003
City,MEERUT,29,0.2,11.7,2.5,2003
City,PATNA,38,0.3,17.1,2.2,2003
City,LUDHIANA,30,0.3,14.0,2.2,2003
State,UTTAR PRADESH,3663,3.3,1743.8,2.1,2003
State,MEGHALAYA,41,0.0,23.9,1.7,2003
City,KOLKATA,205,1.7,132.2,1.6,2003
State,JAMMU & KASHMIR,138,0.1,107.3,1.3,2003
State,MANIPUR,26,0.0,24.8,1.1,2003
State,NAGALAND,22,0.0,20.8,1.1,2003
State,JHARKHAND,272,0.3,280.0,1.0,2003
State,BIHAR,599,0.5,867.7,0.7,2003
City,LUCKNOW,,,22.7,,2004
Union Territory,PUDUCHERRY,539,0.5,10.2,53.0,2004
City,JABALPUR,437,3.7,11.2,39.1,2004
Union Territory,A & N ISLANDS,122,0.1,3.8,32.2,2004
City,RAJKOT,307,2.6,10.0,30.6,2004
City,INDORE,478,4.1,16.4,29.2,2004
State,KERALA,9053,8.0,329.8,27.4,2004
City,BENGALURU,1528,13.1,56.9,26.9,2004
State,TRIPURA,770,0.7,33.4,23.0,2004
State,KARNATAKA,11937,10.5,550.4,21.7,2004
State,GOA,314,0.3,14.7,21.4,2004
State,CHHATTISGARH,4495,4.0,221.5,20.3,2004
City,DHANBAD,214,1.8,10.6,20.1,2004
State,TAMIL NADU,12839,11.3,642.3,20.0,2004
City,NAGPUR,419,3.6,21.2,19.7,2004
City,BHOPAL,277,2.4,14.6,19.0,2004
City,COIMBATORE,275,2.3,14.5,19.0,2004
City,CHENNAI,1196,10.2,64.3,18.6,2004
City,VIJAYAWADA,186,1.6,10.1,18.4,2004
City,VISHAKHAPATNAM,240,2.0,13.3,18.1,2004
City,ASANSOL,198,1.7,10.9,18.1,2004
State,SIKKIM,98,0.1,5.7,17.3,2004
State,ANDHRA PRADESH,13526,11.9,788.5,17.2,2004
City,NASIK,198,1.7,11.5,17.2,2004
Union Territory,D & N HAVELI,39,0.0,2.4,16.4,2004
State,WEST BENGAL,13424,11.8,839.5,16.0,2004
City,KOCHI,212,1.8,13.6,15.6,2004
City,PUNE,550,4.7,37.6,14.6,2004
State,MAHARASHTRA,14729,13.0,1017.5,14.5,2004
City,MADURAI,173,1.5,11.9,14.5,2004
City,KANPUR,360,3.1,26.9,13.4,2004
City,JAIPUR,279,2.4,23.2,12.0,2004
City,SURAT,332,2.8,28.1,11.8,2004
City,VADODARA,173,1.5,14.9,11.6,2004
State,ODISHA,4215,3.7,382.9,11.0,2004
State,MADHYA PRADESH,6795,6.0,646.6,10.5,2004
City,AHMEDABAD,459,3.9,45.2,10.2,2004
State,ASSAM,2839,2.5,282.1,10.1,2004
State,HARYANA,2082,1.8,224.2,9.3,2004
State,GUJARAT,4776,4.2,534.6,8.9,2004
City,AGRA,115,1.0,13.2,8.7,2004
