Category,State or City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid-Year Population(in Lakh),Rate of Suicides,Year
City,JAMSHEDPUR,95,0.8,11.0,8.6,2004
Union Territory,DELHI (UT),1256,1.1,152.8,8.2,2004
City,ALLAHABAD,86,0.7,10.5,8.2,2004
City,HYDERABAD,441,3.8,55.3,8.0,2004
Union Territory,CHANDIGARH,75,0.1,9.8,7.7,2004
City,DELHI (CITY),967,8.3,127.9,7.6,2004
Union Territory,DAMAN & DIU,13,0.0,1.7,7.6,2004
State,ARUNACHAL PRADESH,79,0.1,11.4,6.9,2004
City,MUMBAI,1106,9.4,163.7,6.8,2004
State,MIZORAM,60,0.1,9.4,6.4,2004
State,RAJASTHAN,3725,3.3,605.1,6.2,2004
State,HIMACHAL PRADESH,371,0.3,63.2,5.9,2004
City,VARANASI,48,0.4,12.1,4.0,2004
City,FARIDABAD,42,0.4,10.6,4.0,2004
City,AMRITSAR,32,0.3,10.1,3.2,2004
City,MEERUT,36,0.3,11.7,3.1,2004
State,UTTARAKHAND,237,0.2,89.7,2.6,2004
State,PUNJAB,645,0.6,254.4,2.5,2004
City,LUDHIANA,34,0.3,13.9,2.4,2004
State,MEGHALAYA,55,0.0,24.2,2.3,2004
State,UTTAR PRADESH,3637,3.2,1779.4,2.0,2004
State,MANIPUR,41,0.0,25.1,1.6,2004
City,KOLKATA,201,1.7,132.2,1.5,2004
State,JHARKHAND,417,0.4,284.5,1.5,2004
State,NAGALAND,31,0.0,21.0,1.5,2004
State,JAMMU & KASHMIR,112,0.1,110.4,1.0,2004
City,PATNA,14,0.1,17.1,0.8,2004
State,BIHAR,351,0.3,883.1,0.4,2004
Union Territory,LAKSHADWEEP,0,0.0,0.6,0.0,2004
Union Territory,PUDUCHERRY,538,0.5,10.3,52.1,2005
Union Territory,A & N ISLANDS,139,0.1,3.9,35.8,2005
City,CHENNAI,1922,15.6,64.3,29.9,2005
City,JABALPUR,334,2.7,11.2,29.9,2005
Union Territory,D & N HAVELI,69,0.1,2.4,28.3,2005
State,KERALA,9244,8.1,333.4,27.7,2005
City,VIJAYAWADA,263,2.1,10.1,26.0,2005
City,BENGALURU,1470,11.9,56.9,25.8,2005
City,RAJKOT,250,2.0,10.0,25.0,2005
City,ASANSOL,257,2.1,10.9,23.6,2005
State,CHHATTISGARH,4881,4.3,225.8,21.6,2005
State,TRIPURA,715,0.6,33.9,21.1,2005
State,KARNATAKA,11557,10.1,557.0,20.7,2005
City,NAGPUR,416,3.4,21.2,19.6,2005
State,SIKKIM,109,0.1,5.8,19.0,2005
State,GOA,282,0.2,15.1,18.7,2005
State,TAMIL NADU,12076,10.6,648.6,18.6,2005
City,COIMBATORE,267,2.2,14.5,18.5,2005
Union Territory,DAMAN & DIU,32,0.0,1.8,18.3,2005
City,NASIK,209,1.7,11.5,18.1,2005
State,WEST BENGAL,15015,13.2,850.5,17.7,2005
City,BHOPAL,257,2.1,14.6,17.7,2005
City,MADURAI,210,1.7,11.9,17.6,2005
State,ANDHRA PRADESH,13442,11.8,798.1,16.8,2005
City,KOCHI,224,1.8,13.6,16.5,2005
State,MAHARASHTRA,14426,12.7,1031.6,14.0,2005
City,VISHAKHAPATNAM,184,1.5,13.3,13.8,2005
City,KANPUR,366,3.0,26.9,13.6,2005
City,PUNE,506,4.1,37.6,13.5,2005
City,DHANBAD,141,1.1,10.6,13.3,2005
City,SURAT,365,3.0,28.1,13.0,2005
City,VADODARA,179,1.5,14.9,12.0,2005
State,ODISHA,4208,3.7,387.5,10.9,2005
City,HYDERABAD,593,4.8,55.3,10.7,2005
City,AHMEDABAD,468,3.8,45.2,10.4,2005
City,JAIPUR,242,2.0,23.2,10.4,2005
State,ASSAM,2846,2.5,286.9,9.9,2005
City,JAMSHEDPUR,105,0.9,11.0,9.5,2005
State,HARYANA,2046,1.8,227.9,9.0,2005
Union Territory,CHANDIGARH,89,0.1,10.0,8.9,2005
State,GUJARAT,4765,4.2,542.7,8.8,2005
City,LUCKNOW,193,1.6,22.7,8.5,2005
City,DELHI (CITY),1073,8.7,127.9,8.4,2005
State,MADHYA PRADESH,5448,4.8,659.5,8.3,2005
Union Territory,DELHI (UT),1245,1.1,157.4,7.9,2005
City,ALLAHABAD,79,0.6,10.5,7.5,2005
City,MUMBAI,1192,9.7,163.7,7.3,2005
State,RAJASTHAN,4178,3.7,616.7,6.8,2005
City,FARIDABAD,65,0.5,10.6,6.2,2005
State,ARUNACHAL PRADESH,70,0.1,11.6,6.0,2005
State,MIZORAM,55,0.0,9.5,5.8,2005
State,HIMACHAL PRADESH,359,0.3,63.8,5.6,2005
City,AGRA,54,0.4,13.2,4.1,2005
City,MEERUT,41,0.3,11.7,3.5,2005
City,VARANASI,39,0.3,12.1,3.2,2005
State,UTTARAKHAND,273,0.2,91.2,3.0,2005
State,MEGHALAYA,71,0.1,24.5,2.9,2005
State,JHARKHAND,808,0.7,288.9,2.8,2005
City,AMRITSAR,27,0.2,10.1,2.7,2005
State,JAMMU & KASHMIR,294,0.3,113.7,2.6,2005
City,LUDHIANA,36,0.3,13.9,2.6,2005
State,PUNJAB,588,0.5,257.6,2.3,2005
City,PATNA,39,0.3,17.1,2.3,2005
State,UTTAR PRADESH,3449,3.0,1814.9,1.9,2005
City,KOLKATA,240,1.9,132.2,1.8,2005
City,INDORE,25,0.2,16.4,1.5,2005
State,NAGALAND,27,0.0,21.2,1.3,2005
State,MANIPUR,27,0.0,25.4,1.1,2005
State,BIHAR,543,0.5,898.2,0.6,2005
Union Territory,LAKSHADWEEP,0,0.0,0.7,0.0,2005
Union Territory,PUDUCHERRY,526,0.4,10.5,50.2,2006
City,CHENNAI,2427,17.5,64.3,37.8,2006
City,BENGALURU,2008,14.5,56.9,35.3,2006
Union Territory,A & N ISLANDS,133,0.1,4.0,33.6,2006
City,JABALPUR,349,2.5,11.2,31.2,2006
City,ASANSOL,324,2.3,10.9,29.7,2006
City,RAJKOT,277,2.0,10.0,27.6,2006
State,KERALA,9026,7.6,336.8,26.8,2006
State,SIKKIM,145,0.1,5.8,25.0,2006
City,VIJAYAWADA,235,1.7,10.1,23.2,2006
State,TRIPURA,765,0.6,34.4,22.3,2006
City,COIMBATORE,317,2.3,14.5,21.9,2006
State,KARNATAKA,12212,10.3,563.5,21.7,2006
State,CHHATTISGARH,4626,3.9,229.9,20.1,2006
City,NAGPUR,424,3.1,21.2,20.0,2006
City,BHOPAL,289,2.1,14.6,19.9,2006
State,TAMIL NADU,12381,10.5,654.5,18.9,2006
State,WEST BENGAL,15725,13.3,861.3,18.3,2006
City,NASIK,210,1.5,11.5,18.2,2006
State,GOA,275,0.2,15.5,17.7,2006
City,KOCHI,234,1.7,13.6,17.3,2006
Union Territory,D & N HAVELI,42,0.0,2.5,16.8,2006
State,ANDHRA PRADESH,13276,11.2,807.2,16.4,2006
City,SURAT,430,3.1,28.1,15.3,2006
City,MADURAI,181,1.3,11.9,15.1,2006
State,MAHARASHTRA,15494,13.1,1045.7,14.8,2006
City,PUNE,529,3.8,37.6,14.1,2006
City,VADODARA,193,1.4,14.9,12.9,2006
City,VISHAKHAPATNAM,171,1.2,13.3,12.9,2006
Union Territory,DAMAN & DIU,22,0.0,1.8,12.2,2006
City,JAIPUR,274,2.0,23.2,11.8,2006
City,JAMSHEDPUR,127,0.9,11.0,11.5,2006
City,AHMEDABAD,517,3.7,45.2,11.4,2006
City,KANPUR,295,2.1,26.9,11.0,2006
State,ARUNACHAL PRADESH,129,0.1,11.7,11.0,2006
City,HYDERABAD,603,4.4,55.3,10.9,2006
State,ODISHA,4065,3.4,392.0,10.4,2006
State,ASSAM,3031,2.6,291.6,10.4,2006
City,DELHI (CITY),1296,9.4,127.9,10.1,2006
State,HARYANA,2316,2.0,231.6,10.0,2006
State,MADHYA PRADESH,6435,5.4,672.1,9.6,2006
City,FARIDABAD,100,0.7,10.6,9.5,2006
Union Territory,DELHI (UT),1492,1.3,162.3,9.2,2006
State,GUJARAT,5035,4.3,550.8,9.1,2006
City,LUCKNOW,189,1.4,22.7,8.3,2006
Union Territory,CHANDIGARH,80,0.1,10.2,7.8,2006
City,MUMBAI,1195,8.6,163.7,7.3,2006
State,MIZORAM,70,0.1,9.6,7.3,2006
State,HIMACHAL PRADESH,457,0.4,64.5,7.1,2006
State,RAJASTHAN,4263,3.6,628.0,6.8,2006
City,ALLAHABAD,71,0.5,10.5,6.8,2006
City,DHANBAD,64,0.5,10.6,6.0,2006
City,LUDHIANA,70,0.5,13.9,5.0,2006
City,MEERUT,49,0.4,11.7,4.2,2006
City,AGRA,54,0.4,13.2,4.1,2006
City,VARANASI,47,0.3,12.1,3.9,2006
State,MEGHALAYA,92,0.1,24.8,3.7,2006
State,UTTARAKHAND,326,0.3,92.6,3.5,2006
State,PUNJAB,772,0.7,260.8,3.0,2006
Union Territory,LAKSHADWEEP,2,0.0,0.7,3.0,2006
State,JHARKHAND,856,0.7,293.1,2.9,2006
City,INDORE,39,0.3,16.4,2.4,2006
City,PATNA,37,0.3,17.1,2.2,2006
State,JAMMU & KASHMIR,262,0.2,117.3,2.2,2006
State,UTTAR PRADESH,3099,2.6,1850.2,1.7,2006
City,KOLKATA,204,1.5,132.2,1.5,2006
City,AMRITSAR,15,0.1,10.1,1.5,2006
State,MANIPUR,36,0.0,25.7,1.4,2006
State,NAGALAND,28,0.0,21.4,1.3,2006
State,BIHAR,618,0.5,913.3,0.7,2006
Union Territory,PUDUCHERRY,517,0.4,10.6,48.6,2007
City,BENGALURU,2429,16.9,56.9,42.7,2007
Union Territory,A & N ISLANDS,156,0.1,4.0,38.5,2007
City,CHENNAI,2313,16.1,64.3,36.0,2007
City,RAJKOT,340,2.4,10.0,33.9,2007
Union Territory,D & N HAVELI,76,0.1,2.6,29.6,2007
State,KERALA,8962,7.3,340.1,26.3,2007
City,JABALPUR,273,1.9,11.2,24.4,2007
State,KARNATAKA,12304,10.0,569.8,21.6,2007
State,TAMIL NADU,13811,11.3,660.2,20.9,2007
State,CHHATTISGARH,4839,3.9,233.8,20.7,2007
State,SIKKIM,122,0.1,5.9,20.7,2007
State,TRIPURA,705,0.6,34.8,20.3,2007
City,BHOPAL,289,2.0,14.6,19.9,2007
City,COIMBATORE,281,2.0,14.5,19.4,2007
City,MADURAI,231,1.6,11.9,19.3,2007
City,ASANSOL,205,1.4,10.9,18.8,2007
City,NAGPUR,397,2.8,21.2,18.7,2007
State,ANDHRA PRADESH,14882,12.1,816.0,18.2,2007
City,VISHAKHAPATNAM,241,1.7,13.3,18.1,2007
City,VIJAYAWADA,178,1.2,10.1,17.6,2007
City,SURAT,485,3.4,28.1,17.3,2007
State,WEST BENGAL,14860,12.1,871.8,17.0,2007
State,GOA,270,0.2,16.0,16.9,2007
City,KOCHI,217,1.5,13.6,16.0,2007
City,PUNE,583,4.1,37.6,15.5,2007
City,NASIK,172,1.2,11.5,14.9,2007
City,KANPUR,393,2.7,26.9,14.6,2007
State,MAHARASHTRA,15184,12.4,1059.7,14.3,2007
City,HYDERABAD,746,5.2,55.3,13.5,2007
City,VADODARA,200,1.4,14.9,13.4,2007
City,JAIPUR,288,2.0,23.2,12.4,2007
City,JAMSHEDPUR,135,0.9,11.0,12.3,2007
City,AHMEDABAD,518,3.6,45.2,11.5,2007
State,ODISHA,4308,3.5,396.2,10.9,2007
State,ARUNACHAL PRADESH,129,0.1,11.9,10.8,2007
State,ASSAM,3062,2.5,296.2,10.3,2007
State,HARYANA,2433,2.0,235.3,10.3,2007
State,GUJARAT,5580,4.6,558.8,10.0,2007
City,LUCKNOW,226,1.6,22.7,10.0,2007
City,DELHI (CITY),1246,8.7,127.9,9.7,2007
State,MADHYA PRADESH,6329,5.2,684.5,9.2,2007
Union Territory,DELHI (UT),1481,1.2,167.3,8.9,2007
Union Territory,DAMAN & DIU,15,0.0,1.8,8.2,2007
City,FARIDABAD,83,0.6,10.6,7.9,2007
Union Territory,CHANDIGARH,82,0.1,10.5,7.8,2007
City,DHANBAD,77,0.5,10.6,7.2,2007
City,MUMBAI,1141,8.0,163.7,7.0,2007
City,ALLAHABAD,74,0.5,10.5,7.0,2007
State,RAJASTHAN,4437,3.6,639.1,6.9,2007
State,HIMACHAL PRADESH,402,0.3,65.1,6.2,2007
City,PATNA,97,0.7,17.1,5.7,2007
City,MEERUT,58,0.4,11.7,5.0,2007
City,VARANASI,58,0.4,12.1,4.8,2007
City,LUDHIANA,62,0.4,13.9,4.4,2007
Union Territory,LAKSHADWEEP,3,0.0,0.7,4.4,2007
State,JHARKHAND,1289,1.1,297.3,4.3,2007
City,AGRA,47,0.3,13.2,3.6,2007
State,MEGHALAYA,87,0.1,25.1,3.5,2007
State,PUNJAB,847,0.7,263.9,3.2,2007
State,MIZORAM,28,0.0,9.7,2.9,2007
State,UTTARAKHAND,248,0.2,94.0,2.6,2007
City,AMRITSAR,26,0.2,10.1,2.6,2007
State,UTTAR PRADESH,3927,3.2,1885.4,2.1,2007
City,INDORE,32,0.2,16.4,2.0,2007
State,JAMMU & KASHMIR,234,0.2,121.0,1.9,2007
City,KOLKATA,195,1.4,132.2,1.5,2007
State,MANIPUR,39,0.0,26.1,1.5,2007
State,NAGALAND,24,0.0,21.7,1.1,2007
State,BIHAR,965,0.8,928.3,1.0,2007
State,SIKKIM,287,0.2,6.0,48.2,2008
Union Territory,PUDUCHERRY,507,0.4,10.8,46.9,2008
City,BENGALURU,2396,18.3,56.9,42.1,2008
Union Territory,A & N ISLANDS,143,0.1,4.2,34.5,2008
City,RAJKOT,316,2.4,10.0,31.5,2008
State,KERALA,8569,6.9,343.4,25.0,2008
City,JABALPUR,273,2.1,11.2,24.4,2008
City,VIJAYAWADA,235,1.8,10.1,23.2,2008
City,COIMBATORE,327,2.5,14.5,22.6,2008
Union Territory,D & N HAVELI,60,0.0,2.6,22.6,2008
State,TAMIL NADU,14425,11.5,665.8,21.7,2008
State,TRIPURA,752,0.6,35.2,21.3,2008
State,KARNATAKA,12222,9.8,576.0,21.2,2008
State,CHHATTISGARH,4945,4.0,237.7,20.8,2008
City,CHENNAI,1309,10.0,64.3,20.4,2008
City,MADURAI,231,1.8,11.9,19.3,2008
City,NAGPUR,404,3.1,21.2,19.0,2008
City,SURAT,502,3.8,28.1,17.9,2008
State,GOA,287,0.2,16.4,17.5,2008
State,ANDHRA PRADESH,14354,11.5,824.6,17.4,2008
City,KOCHI,233,1.8,13.6,17.2,2008
State,WEST BENGAL,14852,11.9,882.1,16.8,2008
City,NASIK,190,1.5,11.5,16.5,2008
City,PUNE,612,4.7,37.6,16.3,2008
City,VISHAKHAPATNAM,200,1.5,13.3,15.0,2008
City,BHOPAL,217,1.7,14.6,14.9,2008
City,KANPUR,377,2.9,26.9,14.0,2008
City,ASANSOL,150,1.1,10.9,13.7,2008
State,MAHARASHTRA,14374,11.5,1073.5,13.4,2008
City,HYDERABAD,743,5.7,55.3,13.4,2008
City,JAIPUR,302,2.3,23.2,13.0,2008
State,ODISHA,4904,3.9,400.3,12.2,2008
City,AHMEDABAD,518,4.0,45.2,11.5,2008
City,VADODARA,171,1.3,14.9,11.5,2008
State,HARYANA,2656,2.1,238.9,11.1,2008
State,MADHYA PRADESH,7629,6.1,696.8,10.9,2008
State,GUJARAT,6165,4.9,566.6,10.9,2008
City,FARIDABAD,113,0.9,10.6,10.7,2008
City,ALLAHABAD,112,0.9,10.5,10.7,2008
Union Territory,DAMAN & DIU,19,0.0,1.9,10.1,2008
State,ASSAM,2989,2.4,300.8,9.9,2008
State,HIMACHAL PRADESH,630,0.5,65.7,9.6,2008
State,ARUNACHAL PRADESH,110,0.1,12.0,9.1,2008
City,DELHI (CITY),1107,8.5,127.9,8.7,2008
State,RAJASTHAN,5166,4.1,649.9,7.9,2008
City,LUCKNOW,178,1.4,22.7,7.9,2008
City,MEERUT,91,0.7,11.7,7.8,2008
Union Territory,CHANDIGARH,83,0.1,10.7,7.7,2008
Union Territory,DELHI (UT),1303,1.0,172.5,7.6,2008
City,JAMSHEDPUR,80,0.6,11.0,7.3,2008
City,MUMBAI,1111,8.5,163.7,6.8,2008
City,VARANASI,75,0.6,12.1,6.2,2008
City,LUDHIANA,81,0.6,13.9,5.8,2008
City,DHANBAD,52,0.4,10.6,4.9,2008
City,AMRITSAR,44,0.3,10.1,4.4,2008
State,MIZORAM,41,0.0,9.8,4.2,2008
City,PATNA,66,0.5,17.1,3.9,2008
State,PUNJAB,869,0.7,266.9,3.3,2008
City,AGRA,44,0.3,13.2,3.3,2008
State,MEGHALAYA,85,0.1,25.5,3.3,2008
State,JHARKHAND,911,0.7,301.4,3.0,2008
State,JAMMU & KASHMIR,310,0.2,125.0,2.5,2008
State,UTTAR PRADESH,4088,3.3,1920.5,2.1,2008
State,UTTARAKHAND,191,0.2,95.4,2.0,2008
City,INDORE,32,0.2,16.4,2.0,2008
State,NAGALAND,42,0.0,22.0,1.9,2008
City,KOLKATA,179,1.4,132.2,1.4,2008
State,MANIPUR,34,0.0,26.4,1.3,2008
State,BIHAR,1015,0.8,943.1,1.1,2008
Union Territory,LAKSHADWEEP,0,0.0,0.7,0.0,2008
Union Territory,PUDUCHERRY,518,0.4,11.0,47.2,2009
State,SIKKIM,241,0.2,6.0,39.9,2009
City,BENGALURU,2167,16.0,56.9,38.1,2009
City,JABALPUR,384,2.8,11.2,34.4,2009
City,RAJKOT,343,2.5,10.0,34.2,2009
Union Territory,A & N ISLANDS,131,0.1,4.2,31.0,2009
State,KERALA,8755,6.9,346.6,25.3,2009
State,CHHATTISGARH,5883,4.6,241.6,24.4,2009
City,COIMBATORE,352,2.6,14.5,24.3,2009
City,CHENNAI,1412,10.5,64.3,22.0,2009
City,MADURAI,259,1.9,11.9,21.7,2009
City,VIJAYAWADA,219,1.6,10.1,21.7,2009
State,TAMIL NADU,14424,11.3,671.1,21.5,2009
State,KARNATAKA,12195,9.6,582.0,21.0,2009
State,TRIPURA,738,0.6,35.7,20.7,2009
Union Territory,D & N HAVELI,56,0.0,2.8,20.4,2009
City,ASANSOL,222,1.6,10.9,20.3,2009
City,SURAT,530,3.9,28.1,18.9,2009
City,BHOPAL,275,2.0,14.6,18.9,2009
City,NAGPUR,390,2.9,21.2,18.4,2009
State,ANDHRA PRADESH,14500,11.4,833.0,17.4,2009
City,PUNE,648,4.8,37.6,17.3,2009
City,KOCHI,231,1.7,13.6,17.0,2009
City,VISHAKHAPATNAM,224,1.7,13.3,16.9,2009
State,WEST BENGAL,14648,11.5,892.1,16.4,2009
State,GOA,278,0.2,16.9,16.4,2009
City,JAMSHEDPUR,171,1.3,11.0,15.5,2009
City,NASIK,168,1.2,11.5,14.6,2009
City,DHANBAD,152,1.1,10.6,14.3,2009
City,KANPUR,366,2.7,26.9,13.6,2009
State,MAHARASHTRA,14300,11.2,1087.0,13.2,2009
State,MADHYA PRADESH,9113,7.2,709.0,12.9,2009
City,HYDERABAD,687,5.1,55.3,12.4,2009
City,VADODARA,177,1.3,14.9,11.9,2009
Union Territory,DAMAN & DIU,23,0.0,1.9,11.9,2009
City,JAIPUR,264,2.0,23.2,11.4,2009
City,FARIDABAD,120,0.9,10.6,11.4,2009
State,ODISHA,4365,3.4,404.3,10.8,2009
State,GUJARAT,6156,4.8,574.4,10.7,2009
State,HARYANA,2503,2.0,242.4,10.3,2009
City,VARANASI,124,0.9,12.1,10.2,2009
City,AHMEDABAD,451,3.3,45.2,10.0,2009
State,ASSAM,2966,2.3,305.3,9.7,2009
City,DELHI (CITY),1215,9.0,127.9,9.5,2009
State,ARUNACHAL PRADESH,110,0.1,12.2,9.0,2009
City,AGRA,117,0.9,13.2,8.9,2009
State,HIMACHAL PRADESH,560,0.4,66.3,8.4,2009
Union Territory,DELHI (UT),1477,1.2,177.8,8.3,2009
City,LUCKNOW,185,1.4,22.7,8.2,2009
State,RAJASTHAN,5065,4.0,660.6,7.7,2009
City,ALLAHABAD,76,0.6,10.5,7.2,2009
State,MIZORAM,69,0.1,10.0,6.9,2009
City,MEERUT,79,0.6,11.7,6.8,2009
Union Territory,CHANDIGARH,75,0.1,11.0,6.8,2009
City,MUMBAI,1051,7.8,163.7,6.4,2009
City,INDORE,98,0.7,16.4,6.0,2009
State,MEGHALAYA,112,0.1,25.8,4.3,2009
City,PATNA,63,0.5,17.1,3.7,2009
City,LUDHIANA,51,0.4,13.9,3.7,2009
State,JHARKHAND,1112,0.9,305.4,3.6,2009
State,UTTARAKHAND,342,0.3,96.8,3.5,2009
City,AMRITSAR,32,0.2,10.1,3.2,2009
State,PUNJAB,847,0.7,269.8,3.1,2009
State,JAMMU & KASHMIR,321,0.3,129.1,2.5,2009
State,UTTAR PRADESH,4158,3.3,1955.2,2.1,2009
City,KOLKATA,200,1.5,132.2,1.5,2009
State,NAGALAND,31,0.0,22.2,1.4,2009
Union Territory,LAKSHADWEEP,1,0.0,0.7,1.4,2009
State,BIHAR,1051,0.8,957.5,1.1,2009
State,MANIPUR,27,0.0,26.7,1.0,2009
State,SIKKIM,280,0.2,6.1,45.9,2010
Union Territory,PUDUCHERRY,508,0.4,11.2,45.5,2010
City,JABALPUR,464,3.4,11.2,41.5,2010
City,RAJKOT,385,2.8,10.0,38.4,2010
Union Territory,A & N ISLANDS,156,0.1,4.3,36.1,2010
City,BENGALURU,1778,13.0,56.9,31.3,2010
State,CHHATTISGARH,6522,4.8,245.4,26.6,2010
State,KERALA,8586,6.4,349.7,24.6,2010
State,TAMIL NADU,16561,12.3,676.3,24.5,2010
City,VIJAYAWADA,241,1.8,10.1,23.8,2010
City,COIMBATORE,326,2.4,14.5,22.5,2010
Union Territory,D & N HAVELI,63,0.0,2.8,22.3,2010
City,NAGPUR,458,3.3,21.2,21.6,2010
State,KARNATAKA,12651,9.4,588.0,21.5,2010
City,VISHAKHAPATNAM,284,2.1,13.3,21.4,2010
City,CHENNAI,1325,9.7,64.3,20.6,2010
City,MADURAI,242,1.8,11.9,20.3,2010
City,ASANSOL,222,1.6,10.9,20.3,2010
State,TRIPURA,725,0.5,36.1,20.1,2010
State,ANDHRA PRADESH,15901,11.8,841.3,18.9,2010
State,GOA,322,0.2,17.4,18.5,2010
City,KOCHI,246,1.8,13.6,18.2,2010
State,WEST BENGAL,16037,11.9,902.2,17.8,2010
City,NASIK,199,1.5,11.5,17.3,2010
City,PUNE,646,4.7,37.6,17.2,2010
City,SURAT,459,3.4,28.1,16.3,2010
Union Territory,DAMAN & DIU,31,0.0,2.0,15.5,2010
City,JAIPUR,351,2.6,23.2,15.1,2010
City,JAMSHEDPUR,165,1.2,11.0,15.0,2010
City,HYDERABAD,821,6.0,55.3,14.8,2010
City,BHOPAL,214,1.6,14.6,14.7,2010
State,MAHARASHTRA,15916,11.8,1100.5,14.5,2010
City,KANPUR,380,2.8,26.9,14.1,2010
State,MADHYA PRADESH,9003,6.7,721.1,12.5,2010
State,HARYANA,2895,2.2,245.9,11.8,2010
State,GUJARAT,6207,4.6,581.9,10.7,2010
State,ARUNACHAL PRADESH,131,0.1,12.4,10.6,2010
City,VARANASI,127,0.9,12.1,10.5,2010
State,ODISHA,4255,3.2,408.3,10.4,2010
City,FARIDABAD,110,0.8,10.6,10.4,2010
City,AHMEDABAD,464,3.4,45.2,10.3,2010
City,VADODARA,154,1.1,14.9,10.3,2010
City,DELHI (CITY),1242,9.1,127.9,9.7,2010
State,ASSAM,2993,2.2,309.8,9.7,2010
City,PATNA,149,1.1,17.1,8.7,2010
City,INDORE,143,1.0,16.4,8.7,2010
Union Territory,DELHI (UT),1543,1.1,183.3,8.4,2010
City,LUCKNOW,184,1.3,22.7,8.1,2010
City,AGRA,107,0.8,13.2,8.1,2010
State,HIMACHAL PRADESH,542,0.4,66.9,8.1,2010
City,MEERUT,90,0.7,11.7,7.7,2010
State,MIZORAM,76,0.1,10.1,7.5,2010
City,MUMBAI,1192,8.7,163.7,7.3,2010
State,RAJASTHAN,4920,3.7,671.1,7.3,2010
City,ALLAHABAD,67,0.5,10.5,6.4,2010
Union Territory,CHANDIGARH,71,0.1,11.3,6.3,2010
City,DHANBAD,60,0.4,10.6,5.6,2010
City,LUDHIANA,74,0.5,13.9,5.3,2010
State,MEGHALAYA,108,0.1,26.1,4.1,2010
State,JHARKHAND,1232,0.9,309.4,4.0,2010
State,PUNJAB,920,0.7,272.7,3.4,2010
State,UTTARAKHAND,281,0.2,98.2,2.9,2010
City,AMRITSAR,29,0.2,10.1,2.9,2010
City,KOLKATA,277,2.0,132.2,2.1,2010
